date,year,month,consumer_credits
2005-12-30,2005,12,28474397
2006-01-06,2006,1,28933045
2006-01-13,2006,1,28945574
2006-01-20,2006,1,29090007
2006-01-27,2006,1,29426869
2006-02-03,2006,2,29895116
2006-02-10,2006,2,30290243
2006-02-17,2006,2,30578552
2006-02-24,2006,2,31154876
2006-03-03,2006,3,31728602
2006-03-10,2006,3,32164602
2006-03-17,2006,3,32401473
2006-03-24,2006,3,32974322
2006-03-31,2006,3,33791832
2006-04-07,2006,4,34359369
2006-04-14,2006,4,35054330
2006-04-21,2006,4,35612656
2006-04-28,2006,4,36413469
2006-05-05,2006,5,37249210
2006-05-12,2006,5,38140885
2006-05-19,2006,5,38750145
2006-05-26,2006,5,39789682
2006-06-02,2006,6,40686394
2006-06-09,2006,6,41213608
2006-06-16,2006,6,41287485
2006-06-23,2006,6,41555275
2006-06-30,2006,6,42000309
2006-07-07,2006,7,42111323
2006-07-14,2006,7,42233217
2006-07-21,2006,7,42052279
2006-07-28,2006,7,42313037
2006-08-04,2006,8,42465930
2006-08-11,2006,8,42624892
2006-08-18,2006,8,42474546
2006-08-25,2006,8,42617336
2006-09-01,2006,9,42744188
2006-09-08,2006,9,42902497
2006-09-15,2006,9,42834910
2006-09-22,2006,9,43039191
2006-09-29,2006,9,43342356
2006-10-06,2006,10,43437891
2006-10-13,2006,10,43708559
2006-10-20,2006,10,43776720
2006-10-27,2006,10,43795265
2006-11-03,2006,11,43957402
2006-11-10,2006,11,44161470
2006-11-17,2006,11,44124081
2006-11-24,2006,11,44394457
2006-12-01,2006,12,44860967
2006-12-08,2006,12,45093447
2006-12-15,2006,12,45205386
2006-12-22,2006,12,45627537
2006-12-29,2006,12,46151088
2007-01-05,2007,1,46023583
2007-01-12,2007,1,46203073
2007-01-19,2007,1,46090787
2007-01-26,2007,1,46314954
2007-02-02,2007,2,46515126
2007-02-09,2007,2,46677109
2007-02-16,2007,2,46758982
2007-02-23,2007,2,46917673
2007-03-02,2007,3,47062603
2007-03-09,2007,3,47329290
2007-03-16,2007,3,47443914
2007-03-23,2007,3,47931003
2007-03-30,2007,3,48467419
2007-04-06,2007,4,48653753
2007-04-13,2007,4,48900605
2007-04-20,2007,4,49031025
2007-04-27,2007,4,49834246
2007-05-04,2007,5,50367838
2007-05-11,2007,5,50737434
2007-05-18,2007,5,50798306
2007-05-25,2007,5,51240488
2007-06-01,2007,6,51774018
2007-06-08,2007,6,51992670
2007-06-15,2007,6,52003229
2007-06-22,2007,6,52935354
2007-06-29,2007,6,53582046
2007-07-06,2007,7,53883303
2007-07-13,2007,7,54418213
2007-07-20,2007,7,54607479
2007-07-27,2007,7,55138424
2007-08-03,2007,8,55678284
2007-08-10,2007,8,56164311
2007-08-17,2007,8,56313588
2007-08-24,2007,8,56891435
2007-08-31,2007,8,57414337
2007-09-07,2007,9,57760471
2007-09-14,2007,9,58223117
2007-09-21,2007,9,58353575
2007-09-28,2007,9,59120617
2007-10-05,2007,10,59387487
2007-10-12,2007,10,59966042
2007-10-19,2007,10,60298420
2007-10-26,2007,10,60786432
2007-11-02,2007,11,61249087
2007-11-09,2007,11,61683763
2007-11-16,2007,11,61982115
2007-11-23,2007,11,62676603
2007-11-30,2007,11,63534421
2007-12-07,2007,12,63943048
2007-12-14,2007,12,64688302
2007-12-21,2007,12,64838037
2007-12-28,2007,12,65585611
2008-01-04,2008,1,65944672
2008-01-11,2008,1,66418326
2008-01-18,2008,1,66412074
2008-01-25,2008,1,66897086
2008-02-01,2008,2,67407523
2008-02-08,2008,2,67800062
2008-02-15,2008,2,67995750
2008-02-22,2008,2,68612342
2008-02-29,2008,2,69210396
2008-03-07,2008,3,69610591
2008-03-14,2008,3,70360629
2008-03-21,2008,3,70723305
2008-03-28,2008,3,71401793
2008-04-04,2008,4,71785485
2008-04-11,2008,4,72139805
2008-04-18,2008,4,72161574
2008-04-25,2008,4,72494329
2008-05-02,2008,5,73020210
2008-05-09,2008,5,73606258
2008-05-16,2008,5,73638141
2008-05-23,2008,5,74042733
2008-05-30,2008,5,74847455
2008-06-06,2008,6,75236799
2008-06-13,2008,6,76072022
2008-06-20,2008,6,76262689
2008-06-27,2008,6,76949457
2008-07-04,2008,7,77309384
2008-07-11,2008,7,77722155
2008-07-18,2008,7,77717063
2008-07-25,2008,7,78203269
2008-08-01,2008,8,78840816
2008-08-08,2008,8,79322976
2008-08-15,2008,8,79416224
2008-08-22,2008,8,79997908
2008-08-29,2008,8,80651106
2008-09-05,2008,9,80981772
2008-09-12,2008,9,81564510
2008-09-19,2008,9,81771139
2008-09-26,2008,9,82733896
2008-10-03,2008,10,82626165
2008-10-10,2008,10,82922360
2008-10-17,2008,10,82736999
2008-10-24,2008,10,82918794
