date,year,month,export_unit_value_index_usd,export_unit_value_index_tl
2005-01-01,2005,1,86.8,78.4
2005-02-01,2005,2,86.5,75.8
2005-03-01,2005,3,87.9,76.6
2005-04-01,2005,4,86.6,78.3
2005-05-01,2005,5,86.6,78.9
2005-06-01,2005,6,85.9,77.8
2005-07-01,2005,7,85.0,75.7
2005-08-01,2005,8,85.0,76.0
2005-09-01,2005,9,85.9,76.6
2005-10-01,2005,10,84.2,76.0
2005-11-01,2005,11,83.6,75.6
2005-12-01,2005,12,83.4,75.1
2006-01-01,2006,1,86.3,76.6
2006-02-01,2006,2,85.5,75.5
2006-03-01,2006,3,86.6,76.8
2006-04-01,2006,4,88.0,78.2
2006-05-01,2006,5,90.4,85.1
2006-06-01,2006,6,90.2,95.7
2006-07-01,2006,7,90.1,93.6
2006-08-01,2006,8,90.3,88.4
2006-09-01,2006,9,87.9,86.4
2006-10-01,2006,10,87.3,86.2
2006-11-01,2006,11,88.7,86.0
2006-12-01,2006,12,91.8,87.6
2007-01-01,2007,1,93.0,88.2
2007-02-01,2007,2,93.5,86.9
2007-03-01,2007,3,94.7,88.7
2007-04-01,2007,4,96.7,87.5
2007-05-01,2007,5,98.5,87.6
2007-06-01,2007,6,98.5,86.6
2007-07-01,2007,7,101.1,86.1
2007-08-01,2007,8,99.6,87.2
2007-09-01,2007,9,100.8,84.8
2007-10-01,2007,10,104.4,83.5
2007-11-01,2007,11,107.8,85.3
2007-12-01,2007,12,109.6,86.0
2008-01-01,2008,1,110.7,86.7
2008-02-01,2008,2,112.1,89.0
2008-03-01,2008,3,116.8,96.0
2008-04-01,2008,4,119.2,103.2
2008-05-01,2008,5,120.5,100.3
2008-06-01,2008,6,123.4,101.2
2008-07-01,2008,7,128.1,103.6
2008-08-01,2008,8,125.0,98.1
2008-09-01,2008,9,121.8,100.2
2008-10-01,2008,10,108.0,107.6
2008-11-01,2008,11,99.5,105.6
2008-12-01,2008,12,99.2,102.1
2009-01-01,2009,1,95.1,101.3
2009-02-01,2009,2,90.9,100.6
2009-03-01,2009,3,89.8,102.2
2009-04-01,2009,4,91.7,98.5
2009-05-01,2009,5,93.8,97.3
2009-06-01,2009,6,96.4,99.3
2009-07-01,2009,7,97.1,98.1
2009-08-01,2009,8,98.6,97.4
2009-09-01,2009,9,100.2,99.4
2009-10-01,2009,10,101.5,99.2
2009-11-01,2009,11,103.3,102.2
2009-12-01,2009,12,102.2,102.4
2010-01-01,2010,1,100.9,99.0
2010-02-01,2010,2,98.6,99.3
2010-03-01,2010,3,98.7,100.8
2010-04-01,2010,4,99.7,99.1
2010-05-01,2010,5,97.9,100.5
2010-06-01,2010,6,96.1,100.8
2010-07-01,2010,7,98.8,100.1
2010-08-01,2010,8,98.2,98.6
2010-09-01,2010,9,99.4,99.0
2010-10-01,2010,10,103.7,98.3
2010-11-01,2010,11,104.1,99.5
2010-12-01,2010,12,103.9,105.0
2011-01-01,2011,1,107.0,111.2
2011-02-01,2011,2,109.5,115.8
2011-03-01,2011,3,111.7,117.5
2011-04-01,2011,4,114.6,116.1
2011-05-01,2011,5,114.0,119.3
2011-06-01,2011,6,114.7,122.2
2011-07-01,2011,7,114.7,126.2
2011-08-01,2011,8,113.5,132.5
2011-09-01,2011,9,110.7,132.5
2011-10-01,2011,10,109.3,133.3
2011-11-01,2011,11,109.5,131.9
2011-12-01,2011,12,108.3,134.4
2012-01-01,2012,1,108.2,132.8
2012-02-01,2012,2,109.7,128.5
2012-03-01,2012,3,109.3,130.0
2012-04-01,2012,4,109.2,129.8
2012-05-01,2012,5,107.6,129.2
2012-06-01,2012,6,106.5,129.1
2012-07-01,2012,7,106.9,128.9
2012-08-01,2012,8,107.7,128.6
2012-09-01,2012,9,108.8,130.5
2012-10-01,2012,10,108.9,130.6
2012-11-01,2012,11,108.2,129.7
2012-12-01,2012,12,109.8,130.6
2013-01-01,2013,1,110.8,130.53
2013-02-01,2013,2,111.03,131.17
2013-03-01,2013,3,109.29,131.59
2013-04-01,2013,4,108.36,129.69
2013-05-01,2013,5,108.12,131.25
2013-06-01,2013,6,108.6,137.1
2013-07-01,2013,7,107.53,138.26
2013-08-01,2013,8,108.16,141.34
2013-09-01,2013,9,107.44,144.39
2013-10-01,2013,10,107.47,142.47
2013-11-01,2013,11,107.46,144.69
2013-12-01,2013,12,108.16,148.28
2014-01-01,2014,1,109.25,161.5
2014-02-01,2014,2,108.26,159.45
2014-03-01,2014,3,107.58,158.89
2014-04-01,2014,4,107.95,153.04
2014-05-01,2014,5,108.02,150.47
2014-06-01,2014,6,108.71,153.36
2014-07-01,2014,7,109.52,154.56
2014-08-01,2014,8,107.31,154.43
2014-09-01,2014,9,105.5,154.86
2014-10-01,2014,10,104.84,157.64
2014-11-01,2014,11,104.12,154.9
2014-12-01,2014,12,103.13,157.11
2015-01-01,2015,1,101.67,158.01
2015-02-01,2015,2,100.24,163.92
2015-03-01,2015,3,97.91,168.46
2015-04-01,2015,4,97.64,172.38
2015-05-01,2015,5,98.93,174.33
2015-06-01,2015,6,98.44,177.07
2015-07-01,2015,7,97.37,174.79
2015-08-01,2015,8,95.67,181.61
2015-09-01,2015,9,94.95,189.75
2015-10-01,2015,10,93.94,183.37
2015-11-01,2015,11,91.91,175.85
2015-12-01,2015,12,91.9,178.58
2016-01-01,2016,1,90.9,182.27
2016-02-01,2016,2,91.62,179.42
2016-03-01,2016,3,91.67,176.66
2016-04-01,2016,4,92.7,175.15
2016-05-01,2016,5,93.07,181.8
2016-06-01,2016,6,93.36,181.34
2016-07-01,2016,7,93.01,183.54
2016-08-01,2016,8,93.26,184.01
2016-09-01,2016,9,93.03,183.31
2016-10-01,2016,10,92.33,188.77
2016-11-01,2016,11,91.41,198.5
2016-12-01,2016,12,91.47,212.44
2017-01-01,2017,1,91.45,228.47
2017-02-01,2017,2,91.32,223.37
2017-03-01,2017,3,90.91,222.03
2017-04-01,2017,4,91.48,222.38
2017-05-01,2017,5,92.26,219.09
2017-06-01,2017,6,93.47,219.18
2017-07-01,2017,7,93.85,222.56
2017-08-01,2017,8,94.63,221.38
2017-09-01,2017,9,95.83,221.84
2017-10-01,2017,10,95.09,231.95
2017-11-01,2017,11,95.27,246.05
2017-12-01,2017,12,96.42,247.12
2018-01-01,2018,1,97.99,246.29
2018-02-01,2018,2,98.36,247.61
2018-03-01,2018,3,98.01,253.61
2018-04-01,2018,4,98.55,266.35
2018-05-01,2018,5,96.77,284.39
2018-06-01,2018,6,97.06,297.96
2018-07-01,2018,7,95.8,303.29
2018-08-01,2018,8,94.06,360.22
2018-09-01,2018,9,93.69,396.24
2018-10-01,2018,10,92.84,361.85
2018-11-01,2018,11,92.46,331.11
2018-12-01,2018,12,92.37,326.61
2019-01-01,2019,1,92.71,331.61
2019-02-01,2019,2,92.26,323.5
2019-03-01,2019,3,91.91,333.26
2019-04-01,2019,4,91.54,350.51
2019-05-01,2019,5,91.56,368.72
2019-06-01,2019,6,92.44,357.3
2019-07-01,2019,7,92.24,348.44
2019-08-01,2019,8,90.71,340.46
2019-09-01,2019,9,90.52,344.27
2019-10-01,2019,10,90.25,347.75
2019-11-01,2019,11,90.65,346.12
2019-12-01,2019,12,91.38,355.51
2020-01-01,2020,1,92.01,362.6
2020-02-01,2020,2,90.93,366.55
2020-03-01,2020,3,89.65,375.98
2020-04-01,2020,4,88.04,400.22
2020-05-01,2020,5,88.35,408.45
2020-06-01,2020,6,89.86,407.7
2020-07-01,2020,7,90.73,414.05
2020-08-01,2020,8,91.52,443.45
2020-09-01,2020,9,90.63,453.53
2020-10-01,2020,10,90.75,476.77
2020-11-01,2020,11,91.34,485.63
2020-12-01,2020,12,93.97,483.1
