date,year,month,interest_rates_personal
2004-01-02,2004,1,33.86
2004-01-09,2004,1,35.62
2004-01-16,2004,1,32.98
2004-01-23,2004,1,31.97
2004-01-30,2004,1,32.68
2004-02-06,2004,2,30.97
2004-02-13,2004,2,31.82
2004-02-20,2004,2,31.24
2004-02-27,2004,2,31.04
2004-03-05,2004,3,30.61
2004-03-12,2004,3,32.58
2004-03-19,2004,3,30.35
2004-03-26,2004,3,29.62
2004-04-02,2004,4,29.35
2004-04-09,2004,4,30.45
2004-04-16,2004,4,28.65
2004-04-23,2004,4,28.22
2004-04-30,2004,4,27.79
2004-05-07,2004,5,28.3
2004-05-14,2004,5,28.26
2004-05-21,2004,5,29.67
2004-05-28,2004,5,30.7
2004-06-04,2004,6,33.04
2004-06-11,2004,6,34.15
2004-06-18,2004,6,33.61
2004-06-25,2004,6,33.89
2004-07-02,2004,7,34.1
2004-07-09,2004,7,33.94
2004-07-16,2004,7,33.15
2004-07-23,2004,7,32.47
2004-07-30,2004,7,32.48
2004-08-06,2004,8,32.89
2004-08-13,2004,8,32.02
2004-08-20,2004,8,32.39
2004-08-27,2004,8,32.69
2004-09-03,2004,9,33.17
2004-09-10,2004,9,33.24
2004-09-17,2004,9,32.38
2004-09-24,2004,9,32.0
2004-10-01,2004,10,32.56
2004-10-08,2004,10,32.15
2004-10-15,2004,10,31.7
2004-10-22,2004,10,31.16
2004-10-29,2004,10,31.06
2004-11-05,2004,11,30.6
2004-11-12,2004,11,30.59
2004-11-19,2004,11,30.0
2004-11-26,2004,11,31.28
2004-12-03,2004,12,31.33
2004-12-10,2004,12,31.05
2004-12-17,2004,12,30.62
2004-12-24,2004,12,30.69
2004-12-31,2004,12,31.45
2005-01-07,2005,1,29.98
2005-01-14,2005,1,30.27
2005-01-21,2005,1,29.35
2005-01-28,2005,1,29.14
2005-02-04,2005,2,28.12
2005-02-11,2005,2,25.84
2005-02-18,2005,2,25.25
2005-02-25,2005,2,25.66
2005-03-04,2005,3,27.15
2005-03-11,2005,3,27.56
2005-03-18,2005,3,24.89
2005-03-25,2005,3,25.25
2005-04-01,2005,4,25.34
2005-04-08,2005,4,25.18
2005-04-15,2005,4,24.88
2005-04-22,2005,4,25.23
2005-04-29,2005,4,25.02
2005-05-06,2005,5,25.03
2005-05-13,2005,5,24.92
2005-05-20,2005,5,24.76
2005-05-27,2005,5,25.2
2005-06-03,2005,6,24.99
2005-06-10,2005,6,25.38
2005-06-17,2005,6,24.54
2005-06-24,2005,6,24.67
2005-07-01,2005,7,25.12
2005-07-08,2005,7,24.85
2005-07-15,2005,7,25.68
2005-07-22,2005,7,25.56
2005-07-29,2005,7,24.15
2005-08-05,2005,8,24.33
2005-08-12,2005,8,24.83
2005-08-19,2005,8,23.88
2005-08-26,2005,8,23.97
2005-09-02,2005,9,23.68
2005-09-09,2005,9,23.84
2005-09-16,2005,9,23.68
2005-09-23,2005,9,23.74
2005-09-30,2005,9,23.55
2005-10-07,2005,10,22.8
2005-10-14,2005,10,22.54
2005-10-21,2005,10,22.87
2005-10-28,2005,10,22.17
2005-11-04,2005,11,21.26
2005-11-11,2005,11,21.7
