date,year,month,money_supply
2005-01-01,2005,1,26906087.0
2005-02-01,2005,2,28189500.0
2005-03-01,2005,3,29520606.0
2005-04-01,2005,4,31217625.0
2005-05-01,2005,5,31099565.0
2005-06-01,2005,6,33653953.0
2005-07-01,2005,7,34129555.0
2005-08-01,2005,8,34829731.0
2005-09-01,2005,9,36484194.0
2005-10-01,2005,10,38850009.0
2005-11-01,2005,11,36854850.0
2005-12-01,2005,12,61991240.52
2006-01-01,2006,1,56634439.5
2006-02-01,2006,2,56869047.1
2006-03-01,2006,3,58367649.6
2006-04-01,2006,4,60339370.6
2006-05-01,2006,5,70201297.3
2006-06-01,2006,6,70101406.4
2006-07-01,2006,7,66235991.3
2006-08-01,2006,8,67525225.3
2006-09-01,2006,9,68300344.1
2006-10-01,2006,10,67694724.6
2006-11-01,2006,11,65815095.4
2006-12-01,2006,12,71770961.55
2007-01-01,2007,1,64096720.4
2007-02-01,2007,2,64582766.4
2007-03-01,2007,3,64834448.6
2007-04-01,2007,4,67930000.1
2007-05-01,2007,5,67834119.4
2007-06-01,2007,6,71260062.7
2007-07-01,2007,7,71835102.2
2007-08-01,2007,8,73009239.0
2007-09-01,2007,9,71637835.2
2007-10-01,2007,10,71480928.0
2007-11-01,2007,11,72367477.0
2007-12-01,2007,12,76350721.0
2008-01-01,2008,1,71699185.0
2008-02-01,2008,2,73098077.0
2008-03-01,2008,3,78129288.0
2008-04-01,2008,4,79783986.0
2008-05-01,2008,5,78117282.0
2008-06-01,2008,6,81221441.0
2008-07-01,2008,7,81103275.0
2008-08-01,2008,8,79287064.0
2008-09-01,2008,9,86910366.0
2008-10-01,2008,10,85130000.0
2008-11-01,2008,11,83199899.0
2008-12-01,2008,12,85476229.0
2009-01-01,2009,1,81150130.0
2009-02-01,2009,2,86465251.0
2009-03-01,2009,3,87853900.0
2009-04-01,2009,4,87932509.0
2009-05-01,2009,5,89567356.0
2009-06-01,2009,6,91292635.0
2009-07-01,2009,7,91842401.0
2009-08-01,2009,8,92326096.0
2009-09-01,2009,9,99789598.0
2009-10-01,2009,10,98226907.0
2009-11-01,2009,11,105781271.0
2009-12-01,2009,12,107346558.0
2010-01-01,2010,1,102072713.0
2010-02-01,2010,2,105260556.0
2010-03-01,2010,3,107251258.0
2010-04-01,2010,4,107612796.0
2010-05-01,2010,5,108978449.0
2010-06-01,2010,6,115851151.0
2010-07-01,2010,7,115022523.0
2010-08-01,2010,8,117175319.0
2010-09-01,2010,9,122460529.0
2010-10-01,2010,10,122716270.0
2010-11-01,2010,11,122926081.0
2010-12-01,2010,12,135190567.0
2011-01-01,2011,1,128189727.0
2011-02-01,2011,2,130032161.0
2011-03-01,2011,3,134803659.0
2011-04-01,2011,4,137258979.0
2011-05-01,2011,5,139419024.0
2011-06-01,2011,6,146544478.0
2011-07-01,2011,7,148059814.0
2011-08-01,2011,8,159372407.0
2011-09-01,2011,9,156850127.0
2011-10-01,2011,10,155823853.0
2011-11-01,2011,11,153348527.0
2011-12-01,2011,12,161212850.0
2012-01-01,2012,1,149046210.0
2012-02-01,2012,2,148652562.0
2012-03-01,2012,3,150830240.0
2012-04-01,2012,4,153470085.0
2012-05-01,2012,5,155020731.0
2012-06-01,2012,6,164647681.0
2012-07-01,2012,7,159281667.0
2012-08-01,2012,8,163831119.0
2012-09-01,2012,9,172412091.0
2012-10-01,2012,10,170733703.0
2012-11-01,2012,11,167192282.0
2012-12-01,2012,12,179934548.0
2013-01-01,2013,1,171065594.0
2013-02-01,2013,2,173536720.0
2013-03-01,2013,3,181563422.0
2013-04-01,2013,4,181233648.0
2013-05-01,2013,5,189967334.0
2013-06-01,2013,6,202565544.0
2013-07-01,2013,7,202371850.0
2013-08-01,2013,8,210219236.0
2013-09-01,2013,9,215695733.0
2013-10-01,2013,10,213607710.0
2013-11-01,2013,11,213599307.0
2013-12-01,2013,12,229424734.0
2014-01-01,2014,1,220755736.0
2014-02-01,2014,2,218754855.0
2014-03-01,2014,3,225588408.0
2014-04-01,2014,4,221991308.0
2014-05-01,2014,5,223083218.0
2014-06-01,2014,6,237540652.0
2014-07-01,2014,7,243773648.0
2014-08-01,2014,8,241324244.0
2014-09-01,2014,9,257420622.0
2014-10-01,2014,10,246416844.0
2014-11-01,2014,11,246140998.0
2014-12-01,2014,12,258317741.0
2015-01-01,2015,1,252673992.0
2015-02-01,2015,2,257344086.0
2015-03-01,2015,3,267342113.0
2015-04-01,2015,4,272907155.0
2015-05-01,2015,5,281271421.0
2015-06-01,2015,6,291406844.0
2015-07-01,2015,7,293280229.0
2015-08-01,2015,8,300054479.0
2015-09-01,2015,9,318857392.0
2015-10-01,2015,10,308696898.0
2015-11-01,2015,11,303405085.0
2015-12-01,2015,12,311648012.0
2016-01-01,2016,1,308204440.0
2016-02-01,2016,2,310257959.0
2016-03-01,2016,3,317931777.0
2016-04-01,2016,4,320939056.0
2016-05-01,2016,5,323519350.0
2016-06-01,2016,6,343949763.0
2016-07-01,2016,7,344330428.0
2016-08-01,2016,8,344283138.0
2016-09-01,2016,9,347559346.0
2016-10-01,2016,10,348489495.0
2016-11-01,2016,11,355942270.0
2016-12-01,2016,12,382726699.0
2017-01-01,2017,1,376488124.0
2017-02-01,2017,2,376224371.0
2017-03-01,2017,3,401643718.0
2017-04-01,2017,4,420976701.0
2017-05-01,2017,5,415462938.0
2017-06-01,2017,6,422262043.0
2017-07-01,2017,7,418346813.0
2017-08-01,2017,8,434543349.0
2017-09-01,2017,9,434338406.0
2017-10-01,2017,10,433323091.0
2017-11-01,2017,11,433286493.0
2017-12-01,2017,12,450624493.0
2018-01-01,2018,1,428975092.0
2018-02-01,2018,2,435544809.0
2018-03-01,2018,3,450940776.0
2018-04-01,2018,4,458684151.0
2018-05-01,2018,5,491900410.0
2018-06-01,2018,6,514853102.0
2018-07-01,2018,7,514433406.0
2018-08-01,2018,8,592102872.0
2018-09-01,2018,9,558571090.0
2018-10-01,2018,10,518147997.0
2018-11-01,2018,11,490138817.0
2018-12-01,2018,12,509676296.0
2019-01-01,2019,1,504511225.0
