date,year,month,retail_sales
2005-01-01,2005,1,1862316.0
2005-02-01,2005,2,709424.0
2005-03-01,2005,3,5160277.0
2005-04-01,2005,4,6321035.0
2005-05-01,2005,5,2809651.0
2005-06-01,2005,6,984740.0
2005-07-01,2005,7,2145331.0
2005-08-01,2005,8,4840713.0
2005-09-01,2005,9,2682036.0
2005-10-01,2005,10,1537329.0
2005-11-01,2005,11,6059506.0
2005-12-01,2005,12,3604633.0
2006-01-01,2006,1,719050.0
2006-02-01,2006,2,2661601.0
2006-03-01,2006,3,474317.0
2006-04-01,2006,4,3869051.0
2006-05-01,2006,5,5346630.0
2006-06-01,2006,6,33598154.0
2006-07-01,2006,7,3308107.0
2006-08-01,2006,8,894219.0
2006-09-01,2006,9,1307148.0
2006-10-01,2006,10,1612841.0
2006-11-01,2006,11,707267.0
2006-12-01,2006,12,592842.0
2007-01-01,2007,1,5399184.0
2007-02-01,2007,2,3127764.0
2007-03-01,2007,3,4088510.0
2007-04-01,2007,4,14084493.0
2007-05-01,2007,5,2486693.0
2007-06-01,2007,6,5212691.0
2007-07-01,2007,7,5195841.0
2007-08-01,2007,8,8329798.0
2007-09-01,2007,9,23747709.0
2007-10-01,2007,10,393034.0
2007-11-01,2007,11,4858418.0
2007-12-01,2007,12,20925268.0
2008-01-01,2008,1,15941251.0
2008-02-01,2008,2,14707358.0
2008-03-01,2008,3,41590102.0
2008-04-01,2008,4,10436588.0
2008-05-01,2008,5,23473582.0
2008-06-01,2008,6,17298547.0
2008-07-01,2008,7,16478383.0
2008-08-01,2008,8,48232956.0
2008-09-01,2008,9,15265777.0
2008-10-01,2008,10,10770824.0
2008-11-01,2008,11,25725206.0
2008-12-01,2008,12,77449248.0
2009-01-01,2009,1,62690268.0
2009-02-01,2009,2,19815871.0
2009-03-01,2009,3,42093548.0
2009-04-01,2009,4,47755480.0
2009-05-01,2009,5,15486306.0
2009-06-01,2009,6,88445526.0
2009-07-01,2009,7,29090471.0
2009-08-01,2009,8,102373985.0
2009-09-01,2009,9,3577185.0
2009-10-01,2009,10,11023285.0
2009-11-01,2009,11,10492960.0
2009-12-01,2009,12,56031211.0
2010-01-01,2010,1,23298911.0
2010-02-01,2010,2,15008746.0
2010-03-01,2010,3,21519512.0
2010-04-01,2010,4,68248972.0
2010-05-01,2010,5,107342098.0
2010-06-01,2010,6,13349636.0
2010-07-01,2010,7,56063922.0
2010-08-01,2010,8,15007454.0
2010-09-01,2010,9,20339131.0
2010-10-01,2010,10,7910953.0
2010-11-01,2010,11,1656618.0
2010-12-01,2010,12,20656255.0
2011-01-01,2011,1,5788093.0
2011-02-01,2011,2,48663942.0
2011-03-01,2011,3,20267747.0
2011-04-01,2011,4,13850313.0
2011-05-01,2011,5,16983358.0
2011-06-01,2011,6,9552061.0
2011-07-01,2011,7,19720738.0
2011-08-01,2011,8,6944664.0
2011-09-01,2011,9,6115140.0
2011-10-01,2011,10,83912193.0
2011-11-01,2011,11,15280691.0
2011-12-01,2011,12,18027863.0
2012-01-01,2012,1,16034069.0
2012-02-01,2012,2,35786367.0
2012-03-01,2012,3,23055481.0
