date,year,month,unemployment_15-19,unemployment_20-24,unemployment_25-29,unemployment_30-34,unemployment_35-39,unemployment_40-44,unemployment_45-49,unemployment_50-54,unemployment_55-59,unemployment_60-64,unemployment_65+
2005-01-01,2005,1,20.3,22.7,14.6,10.7,8.9,7.8,7.4,6.8,4.3,3.4,0.7
2005-02-01,2005,2,19.1,23.9,14.7,10.8,9.5,7.8,7.6,6.8,5.1,3.4,1.1
2005-03-01,2005,3,18.0,22.6,13.7,10.3,9.0,7.4,6.9,6.6,4.4,2.8,1.0
2005-04-01,2005,4,16.4,21.1,12.7,9.2,8.0,7.0,6.6,6.7,4.3,2.5,0.7
2005-05-01,2005,5,16.7,19.3,11.9,8.5,6.7,6.5,6.2,6.3,3.7,2.4,0.4
2005-06-01,2005,6,17.2,19.0,12.0,8.4,6.5,6.2,6.6,6.3,3.5,2.8,0.8
2005-07-01,2005,7,17.1,19.5,11.7,8.3,6.7,5.7,6.7,6.1,3.8,2.8,1.1
2005-08-01,2005,8,17.8,20.0,12.1,8.5,6.8,5.8,6.6,6.5,4.2,2.8,1.2
2005-09-01,2005,9,18.5,19.2,12.8,9.1,6.9,6.0,6.5,7.0,4.7,2.8,0.7
2005-10-01,2005,10,18.7,19.8,13.3,9.3,7.2,6.7,6.5,7.5,5.0,2.4,0.6
2005-11-01,2005,11,19.0,20.2,14.2,9.4,7.9,7.3,7.0,8.0,5.2,2.9,0.6
2005-12-01,2005,12,19.2,22.9,14.2,9.4,8.1,7.9,7.4,7.8,6.5,3.3,1.1
2006-01-01,2006,1,20.2,22.6,14.9,10.3,8.6,8.6,7.9,8.8,6.8,4.3,1.2
2006-02-01,2006,2,20.5,22.6,14.9,10.5,9.0,9.2,8.0,8.8,7.5,3.8,1.5
2006-03-01,2006,3,18.3,20.0,14.3,9.2,8.6,8.8,7.5,8.9,6.7,3.8,1.0
2006-04-01,2006,4,16.7,19.0,13.2,8.6,7.9,7.6,6.6,7.3,5.7,3.3,1.0
2006-05-01,2006,5,15.1,17.8,12.0,7.9,6.4,6.4,5.9,6.8,4.4,3.0,0.6
2006-06-01,2006,6,16.1,18.0,12.0,8.1,6.2,6.1,6.0,6.3,3.8,2.2,0.5
2006-07-01,2006,7,17.0,18.2,12.0,7.6,6.6,5.8,6.2,5.9,3.4,1.9,0.4
2006-08-01,2006,8,17.1,19.0,12.5,7.9,7.4,5.7,6.1,5.6,4.0,1.9,0.4
2006-09-01,2006,9,17.0,19.7,11.9,8.0,7.1,5.8,5.7,5.3,4.3,1.7,0.6
2006-10-01,2006,10,17.3,20.3,11.8,8.2,6.7,5.8,5.9,5.6,5.0,2.6,0.8
2006-11-01,2006,11,17.2,20.7,12.4,8.3,6.8,6.3,6.5,6.0,5.3,2.6,0.8
2006-12-01,2006,12,19.2,21.4,13.2,9.3,8.2,6.7,7.3,6.5,6.0,3.5,1.0
2007-01-01,2007,1,19.5,21.4,13.9,10.1,8.8,7.1,7.6,6.8,6.2,2.8,0.7
2007-02-01,2007,2,22.1,21.5,13.8,10.7,8.9,7.4,8.3,7.2,6.3,3.5,0.9
2007-03-01,2007,3,19.2,20.0,12.8,9.6,7.9,7.8,7.9,6.7,4.7,3.5,0.8
2007-04-01,2007,4,19.3,19.0,12.3,8.8,7.0,7.0,7.5,6.2,4.7,3.6,1.2
2007-05-01,2007,5,18.0,17.9,11.4,7.8,6.5,6.3,6.3,5.7,4.2,3.1,1.0
2007-06-01,2007,6,19.3,18.7,11.7,7.5,6.2,5.4,5.7,5.1,4.5,2.4,0.7
2007-07-01,2007,7,19.2,19.3,11.6,7.1,6.2,5.7,5.7,5.0,3.8,2.8,0.4
2007-08-01,2007,8,19.0,20.5,11.8,7.4,6.6,6.2,6.1,5.0,3.8,3.5,0.3
2007-09-01,2007,9,17.8,20.8,12.0,7.8,6.8,6.3,6.9,5.3,4.9,3.9,0.9
2007-10-01,2007,10,19.1,20.9,12.1,8.1,7.1,6.8,7.0,6.1,5.6,3.5,0.6
2007-11-01,2007,11,19.6,20.6,12.7,8.8,7.3,7.1,7.3,6.8,5.8,2.7,1.1
2007-12-01,2007,12,21.4,20.1,12.9,10.1,7.9,7.4,7.1,7.0,5.6,2.5,0.9
2008-01-01,2008,1,21.9,20.7,13.7,11.1,8.6,8.1,8.0,7.0,5.8,2.6,1.2
2008-02-01,2008,2,21.2,21.7,13.7,11.0,8.9,8.8,8.7,7.6,6.3,3.5,0.9
2008-03-01,2008,3,18.9,20.3,13.0,9.9,8.2,8.6,8.4,7.7,5.6,3.5,0.9
2008-04-01,2008,4,15.9,18.6,11.5,9.1,7.7,7.8,7.3,6.6,6.1,3.7,0.8
2008-05-01,2008,5,15.6,17.1,10.7,8.8,7.0,7.0,6.7,5.7,5.4,2.8,1.3
2008-06-01,2008,6,16.9,18.7,11.5,8.4,7.0,6.6,6.4,4.9,4.8,3.3,1.2
2008-07-01,2008,7,17.4,19.9,12.5,8.3,7.0,6.8,6.6,5.4,5.1,3.3,1.2
2008-08-01,2008,8,17.7,20.9,13.3,8.2,7.3,6.4,6.8,5.7,5.4,4.0,0.8
2008-09-01,2008,9,18.6,21.8,13.4,9.1,7.5,7.1,6.8,6.8,6.0,3.7,1.1
2008-10-01,2008,10,21.1,22.3,13.5,9.8,8.0,7.3,7.2,7.5,6.3,4.1,1.1
2008-11-01,2008,11,23.8,24.2,15.1,10.8,9.7,8.6,8.2,8.4,6.8,4.4,1.1
2008-12-01,2008,12,26.3,25.8,16.8,11.9,10.7,10.1,9.6,9.4,8.1,5.2,0.8
2009-01-01,2009,1,27.7,28.0,19.0,13.8,12.5,11.3,10.9,10.7,7.8,5.2,0.8
2009-02-01,2009,2,28.0,28.9,19.2,14.9,12.9,12.3,11.2,11.4,8.8,5.2,1.4
2009-03-01,2009,3,27.1,27.8,19.4,14.5,13.0,11.7,11.0,10.9,8.8,4.9,1.6
2009-04-01,2009,4,25.5,27.1,18.0,13.0,12.7,11.4,10.6,10.0,8.4,4.5,1.8
2009-05-01,2009,5,24.4,25.2,16.7,11.4,11.2,10.0,10.5,8.3,8.0,3.8,1.4
2009-06-01,2009,6,22.2,24.7,16.1,11.0,11.1,9.2,9.6,7.2,7.0,3.2,1.5
2009-07-01,2009,7,20.9,24.8,16.1,11.4,10.2,9.0,8.6,7.4,7.4,3.0,1.4
2009-08-01,2009,8,20.4,25.6,17.3,12.7,10.7,9.2,8.2,8.7,7.3,3.0,1.2
2009-09-01,2009,9,21.7,25.9,17.1,12.2,10.3,9.2,8.1,8.7,7.6,3.4,1.1
2009-10-01,2009,10,22.6,24.9,17.0,11.8,9.7,8.9,8.0,8.6,7.0,4.4,1.3
2009-11-01,2009,11,22.6,25.5,16.6,11.5,10.1,9.3,8.3,8.6,7.0,4.6,1.5
2009-12-01,2009,12,21.9,25.3,17.0,12.0,10.6,10.2,9.9,10.0,7.3,5.0,1.6
2010-01-01,2010,1,22.3,28.0,17.4,12.8,12.0,11.2,11.0,10.3,7.8,5.3,1.6
2010-02-01,2010,2,22.7,27.1,17.0,12.6,12.1,10.9,11.3,10.9,7.7,5.9,1.4
2010-03-01,2010,3,21.4,26.4,16.0,12.1,11.7,10.4,10.7,9.8,7.3,5.6,1.2
2010-04-01,2010,4,18.7,22.6,14.6,10.6,10.5,8.8,9.2,9.0,6.7,4.9,1.3
2010-05-01,2010,5,18.0,20.8,13.8,9.5,9.1,8.1,8.2,7.5,5.9,4.7,1.4
2010-06-01,2010,6,17.3,20.3,13.6,9.3,8.3,7.3,7.1,7.2,5.5,4.0,1.4
2010-07-01,2010,7,17.1,21.0,14.0,9.4,8.0,7.2,6.7,7.0,5.8,3.8,1.9
2010-08-01,2010,8,17.5,23.6,14.4,10.1,8.4,7.9,7.5,7.6,6.5,3.3,2.2
2010-09-01,2010,9,17.6,23.5,14.4,9.7,8.8,7.7,7.5,7.6,7.1,4.3,1.8
2010-10-01,2010,10,17.6,23.6,14.2,9.5,8.4,7.9,7.4,7.8,7.2,3.8,1.6
2010-11-01,2010,11,17.5,22.7,14.3,9.2,8.8,7.3,7.4,7.4,6.9,3.7,1.2
2010-12-01,2010,12,18.7,23.2,14.9,9.6,9.5,7.6,7.7,8.5,6.4,3.5,1.3
2011-01-01,2011,1,19.6,23.2,15.3,10.0,10.4,8.3,8.5,8.6,6.7,3.5,1.0
2011-02-01,2011,2,18.5,21.7,15.0,9.8,9.8,7.9,8.7,8.3,7.4,4.3,0.9
2011-03-01,2011,3,16.8,20.6,13.4,9.7,8.6,8.1,8.9,7.1,7.4,3.9,1.4
2011-04-01,2011,4,16.4,18.7,12.1,9.0,7.4,7.3,8.0,7.3,7.2,4.2,1.4
2011-05-01,2011,5,15.5,18.6,11.8,8.8,6.6,6.9,6.8,7.3,6.3,3.5,1.6
2011-06-01,2011,6,15.7,19.4,12.0,7.8,6.5,6.3,6.2,6.9,5.8,3.1,1.3
2011-07-01,2011,7,15.4,19.9,11.8,7.3,6.4,6.5,6.0,6.2,4.8,2.7,1.4
2011-08-01,2011,8,15.3,20.6,11.6,7.5,6.6,6.4,6.2,5.8,5.0,2.7,1.1
2011-09-01,2011,9,14.1,19.2,11.2,7.7,6.5,6.3,5.8,5.6,5.3,2.4,1.2
2011-10-01,2011,10,14.3,19.1,11.8,8.4,6.8,6.5,6.3,5.8,5.6,2.2,1.1
2011-11-01,2011,11,14.3,18.5,11.7,8.5,7.2,6.8,6.1,5.8,5.1,1.9,1.2
2011-12-01,2011,12,16.8,18.9,12.4,9.1,8.0,7.1,7.2,6.6,5.8,2.6,0.8
2012-01-01,2012,1,17.6,18.8,12.7,9.7,8.3,7.6,7.8,6.9,6.1,3.8,0.9
2012-02-01,2012,2,18.2,18.3,13.1,10.3,8.2,7.9,8.3,7.5,6.7,4.4,1.0
2012-03-01,2012,3,15.9,18.2,12.6,9.8,7.5,7.4,7.5,7.4,6.3,4.3,1.3
2012-04-01,2012,4,14.2,18.0,11.1,8.6,7.0,6.3,6.7,7.1,5.4,3.5,1.2
2012-05-01,2012,5,13.4,17.2,10.8,7.3,6.3,5.5,5.8,6.4,5.1,3.2,0.9
2012-06-01,2012,6,13.1,17.3,10.4,7.3,6.0,5.5,5.7,5.4,4.4,2.4,0.8
2012-07-01,2012,7,12.5,18.6,11.5,7.5,5.9,5.6,5.8,5.4,4.3,2.0,0.7
2012-08-01,2012,8,12.5,20.0,12.2,7.6,6.3,6.1,6.2,5.4,4.1,2.0,0.8
2012-09-01,2012,9,13.1,20.8,12.5,7.5,6.4,6.3,6.4,5.9,4.8,2.6,0.8
2012-10-01,2012,10,14.6,20.0,12.4,7.5,6.3,6.3,6.5,5.8,5.2,3.1,0.7
2012-11-01,2012,11,16.4,20.2,12.9,7.8,6.8,6.5,6.4,6.2,5.7,3.5,0.9
2012-12-01,2012,12,18.0,20.8,13.5,8.7,8.2,6.7,6.7,7.0,5.6,4.1,1.0
2013-01-01,2013,1,19.0,21.6,13.8,9.4,8.8,7.0,6.5,7.8,5.9,4.0,1.1
2013-02-01,2013,2,18.7,21.4,12.9,9.5,9.1,7.0,6.9,8.3,5.8,4.0,1.2
2013-03-01,2013,3,17.2,20.3,12.5,9.4,8.5,7.0,6.8,7.7,5.5,3.8,1.3
2013-04-01,2013,4,15.1,18.9,11.9,8.6,7.9,6.5,6.5,6.2,5.6,3.6,1.3
2013-05-01,2013,5,14.5,17.7,11.9,8.3,7.0,6.1,5.8,5.2,5.8,3.0,1.3
2013-06-01,2013,6,14.7,18.4,11.8,7.7,6.8,5.6,5.7,5.4,6.0,3.2,1.0
2013-07-01,2013,7,15.7,19.4,12.5,7.8,7.0,6.6,6.1,6.0,6.0,4.1,1.0
2013-08-01,2013,8,15.3,20.8,12.6,8.3,7.4,6.9,6.7,6.5,6.1,4.6,0.8
2013-09-01,2013,9,17.0,20.7,12.9,8.5,7.2,7.3,6.4,6.4,6.1,4.7,1.3
2013-10-01,2013,10,16.8,20.6,12.7,8.7,7.5,6.3,5.9,6.9,5.6,4.4,1.2
2013-11-01,2013,11,17.9,20.1,13.1,9.0,7.7,6.8,6.2,6.9,5.6,5.3,1.2
2013-12-01,2013,12,16.3,20.0,13.1,9.3,8.2,7.1,7.0,7.4,6.1,4.6,1.4
2014-01-01,2014,1,15.0,19.1,12.9,9.8,8.2,7.9,7.8,8.0,7.0,4.8,1.4
2014-02-01,2014,2,15.0,18.0,13.1,9.2,8.1,7.8,8.1,8.4,7.6,4.4,1.8
2014-03-01,2014,3,15.1,17.6,12.3,8.6,7.3,7.6,7.6,8.0,7.9,4.6,2.0
2014-04-01,2014,4,14.7,16.0,11.9,8.0,6.8,6.5,6.4,7.9,7.1,4.2,2.4
2014-05-01,2014,5,16.0,15.7,11.6,7.8,6.5,5.8,6.2,7.6,6.8,4.1,2.4
2014-06-01,2014,6,17.2,16.4,12.0,7.8,7.1,6.2,6.0,7.2,6.3,4.6,2.0
2014-07-01,2014,7,17.7,18.6,13.2,7.8,7.7,6.9,6.1,7.7,6.3,4.5,1.6
2014-08-01,2014,8,16.6,20.4,13.4,8.6,8.0,7.3,6.1,7.0,5.5,4.9,1.4
2014-09-01,2014,9,15.9,21.1,14.1,9.3,8.5,7.2,6.6,7.6,5.7,5.1,2.3
2014-10-01,2014,10,16.2,21.5,13.6,9.3,8.2,7.0,7.0,7.5,6.9,5.6,2.3
2014-11-01,2014,11,16.8,21.5,13.7,9.5,8.5,7.4,7.3,8.3,7.1,5.6,2.8
2014-12-01,2014,12,16.5,22.2,13.7,10.0,8.4,7.8,7.3,9.2,7.5,5.3,2.2
2015-01-01,2015,1,17.1,21.5,14.1,10.5,9.0,8.7,7.8,9.8,7.5,5.7,2.9
2015-02-01,2015,2,17.5,21.2,13.6,10.2,9.2,8.8,7.7,9.8,7.8,5.1,2.8
2015-03-01,2015,3,16.7,19.5,12.8,9.4,8.5,9.0,7.2,9.0,7.7,6.0,2.7
2015-04-01,2015,4,15.1,18.0,11.5,8.3,7.7,8.2,6.5,8.6,6.6,6.0,2.3
2015-05-01,2015,5,15.4,17.9,12.0,7.9,7.4,7.3,6.1,7.8,6.0,6.2,2.5
2015-06-01,2015,6,17.3,18.0,12.8,7.7,7.4,6.8,6.0,8.0,6.0,5.4,2.9
2015-07-01,2015,7,17.0,19.1,13.1,8.0,7.6,6.8,6.2,7.4,6.0,4.8,2.7
2015-08-01,2015,8,15.9,19.9,14.1,7.9,7.7,7.3,6.7,7.6,6.9,5.8,2.1
2015-09-01,2015,9,15.1,20.6,13.6,8.5,7.7,7.4,7.3,7.3,7.7,6.1,2.2
2015-10-01,2015,10,16.6,20.9,13.7,8.7,8.0,7.5,7.4,8.1,7.8,7.0,2.1
2015-11-01,2015,11,17.5,20.0,12.8,9.5,8.5,7.7,7.4,8.1,7.8,6.4,2.3
2015-12-01,2015,12,17.1,20.3,13.6,9.6,8.9,8.0,7.8,9.1,7.3,6.4,2.6
2016-01-01,2016,1,16.7,20.5,14.3,10.3,8.9,8.6,8.0,9.6,7.5,5.5,3.1
2016-02-01,2016,2,15.6,20.2,14.0,10.0,8.6,8.5,7.9,9.5,7.8,5.4,3.1
2016-03-01,2016,3,13.6,18.8,13.2,9.6,8.2,8.1,7.0,8.1,7.0,5.1,2.7
2016-04-01,2016,4,13.1,17.6,12.0,9.3,7.6,7.1,6.5,6.7,6.8,4.6,2.2
2016-05-01,2016,5,15.7,18.3,12.6,9.1,7.2,6.8,6.4,6.3,5.8,4.9,2.0
2016-06-01,2016,6,17.9,20.2,13.5,9.6,7.3,7.0,7.1,7.2,6.1,4.9,1.7
2016-07-01,2016,7,17.2,21.4,15.0,9.7,8.1,7.5,7.3,7.4,5.7,5.7,1.7
2016-08-01,2016,8,15.5,22.5,15.7,10.6,8.8,7.9,8.3,7.8,6.0,6.1,2.1
2016-09-01,2016,9,15.0,22.6,15.8,10.7,9.4,8.1,7.9,7.6,6.3,6.1,2.7
2016-10-01,2016,10,16.4,23.7,16.1,10.5,9.7,8.6,8.8,7.9,6.6,6.3,2.8
2016-11-01,2016,11,18.1,24.8,16.2,10.7,10.0,8.8,8.5,7.6,6.7,6.0,3.1
2016-12-01,2016,12,20.4,25.8,16.8,11.2,10.5,9.2,9.4,7.7,7.1,6.7,2.8
2017-01-01,2017,1,20.0,26.8,16.5,12.0,10.9,9.3,9.6,8.9,7.8,6.8,2.4
2017-02-01,2017,2,19.1,25.3,16.0,11.9,9.9,9.5,9.3,9.8,8.9,6.0,1.9
2017-03-01,2017,3,16.5,23.8,14.6,11.2,9.1,8.7,8.8,9.4,8.9,5.0,1.6
2017-04-01,2017,4,16.0,21.6,13.3,9.9,8.3,7.8,7.5,7.0,8.1,4.3,2.1
2017-05-01,2017,5,17.1,21.3,12.4,9.4,8.4,7.0,7.2,6.4,7.7,4.8,2.2
2017-06-01,2017,6,17.6,22.3,13.1,8.8,8.0,6.7,6.4,6.1,7.4,5.1,2.2
2017-07-01,2017,7,18.4,22.8,14.3,9.3,8.3,6.9,6.6,6.9,7.2,4.5,2.3
2017-08-01,2017,8,16.9,22.9,15.0,9.0,8.3,7.1,6.6,6.7,6.5,4.2,2.1
2017-09-01,2017,9,16.1,22.2,15.3,9.1,8.8,7.2,7.1,7.1,6.5,3.8,2.4
2017-10-01,2017,10,14.6,21.8,14.7,8.9,8.5,7.1,7.0,7.5,6.2,4.1,2.6
2017-11-01,2017,11,15.0,21.5,14.5,8.9,8.9,6.9,6.7,7.4,7.0,4.7,2.4
2017-12-01,2017,12,15.6,21.1,14.2,9.5,9.0,7.0,6.9,7.9,7.7,5.0,2.2
2018-01-01,2018,1,16.4,21.7,14.8,9.7,8.8,7.4,7.4,8.2,9.3,6.1,2.3
2018-02-01,2018,2,15.6,20.7,14.9,9.7,8.6,7.2,7.1,8.5,9.0,5.8,3.1
2018-03-01,2018,3,14.3,19.3,14.1,9.3,8.2,7.0,7.2,7.9,8.2,5.3,3.8
2018-04-01,2018,4,14.7,17.9,13.5,9.1,8.0,6.6,7.1,6.9,7.4,4.3,3.7
2018-05-01,2018,5,16.4,18.5,13.6,8.9,7.6,6.8,7.4,6.9,7.0,4.7,2.9
2018-06-01,2018,6,17.5,20.4,14.6,8.8,7.4,7.1,7.3,6.9,6.9,4.4,2.6
2018-07-01,2018,7,17.4,21.5,15.3,9.6,8.3,7.7,7.6,7.4,6.5,4.7,2.1
2018-08-01,2018,8,17.1,23.0,15.8,9.8,8.8,8.1,8.0,7.0,6.8,3.8,2.3
2018-09-01,2018,9,17.8,23.7,15.5,10.4,9.6,8.1,7.9,7.8,6.8,4.7,1.8
2018-10-01,2018,10,18.3,24.3,15.6,10.4,9.8,8.3,7.5,8.2,7.7,5.1,2.2
2018-11-01,2018,11,19.6,25.6,16.0,11.4,10.1,8.8,8.3,9.0,8.8,5.7,2.8
2018-12-01,2018,12,20.7,26.3,18.0,12.5,10.7,10.1,9.4,9.9,10.6,7.0,2.9
2019-01-01,2019,1,23.2,28.5,19.4,13.4,11.5,11.0,11.2,10.7,11.1,6.7,3.6
2019-02-01,2019,2,22.5,27.8,19.7,13.8,12.0,10.7,11.2,11.1,10.7,8.0,4.0
2019-03-01,2019,3,21.2,27.1,18.8,13.3,11.2,10.1,11.1,10.4,9.9,6.8,3.7
2019-04-01,2019,4,18.9,25.3,17.6,12.3,10.8,9.1,10.2,9.3,8.4,7.1,2.7
2019-05-01,2019,5,20.4,24.8,17.7,12.1,10.8,8.9,10.2,8.4,7.9,6.4,2.6
2019-06-01,2019,6,22.9,25.8,17.3,12.2,10.7,8.9,9.7,8.4,7.3,6.4,2.8
2019-07-01,2019,7,24.0,28.9,17.4,12.8,10.6,9.9,10.3,9.5,7.7,7.4,3.8
2019-08-01,2019,8,22.6,30.2,17.5,12.8,10.6,11.0,9.9,9.8,7.5,7.2,3.1
2019-09-01,2019,9,19.6,29.6,17.8,12.6,11.0,11.1,10.2,9.3,8.1,7.3,3.1
2019-10-01,2019,10,18.8,28.3,17.5,13.2,10.4,11.0,9.5,8.8,8.5,6.4,2.6
2019-11-01,2019,11,18.6,27.3,17.4,13.3,9.9,10.4,9.8,9.3,9.0,6.0,2.9
2019-12-01,2019,12,19.9,27.4,18.0,14.0,10.4,11.1,9.9,9.7,9.0,6.1,2.9
2020-01-01,2020,1,20.0,26.7,18.6,13.6,10.9,11.2,10.7,9.4,9.1,6.1,2.6
2020-02-01,2020,2,20.9,26.0,18.8,13.1,11.0,10.9,10.5,9.7,9.2,6.6,2.2
2020-03-01,2020,3,20.7,26.2,18.5,12.9,10.5,10.3,10.0,9.3,8.1,5.6,1.9
2020-04-01,2020,4,21.2,25.7,17.8,12.5,10.4,10.0,10.1,9.2,6.8,5.0,2.0
2020-05-01,2020,5,20.4,26.8,17.0,12.3,10.7,9.9,10.4,9.3,7.0,4.6,2.4
2020-06-01,2020,6,22.2,27.9,17.2,12.6,10.9,9.9,10.5,9.8,7.6,6.1,3.1
2020-07-01,2020,7,21.5,28.0,17.6,12.8,10.3,10.1,9.8,9.8,8.1,6.8,3.3
2020-08-01,2020,8,22.1,28.0,17.7,12.8,9.7,9.9,9.4,8.5,7.7,6.3,3.3
2020-09-01,2020,9,19.9,26.4,17.6,11.8,9.6,9.8,9.1,8.0,7.2,6.0,3.5
2020-10-01,2020,10,20.1,27.0,18.4,11.1,10.0,9.2,9.2,8.0,7.4,5.9,3.6
2020-11-01,2020,11,20.7,27.4,18.4,11.4,10.2,8.9,9.1,8.6,7.6,6.7,3.0
