||||Columns||||
Rows||||||||
||||1.Quarter|2.Quarter|3.Quarter|4.Quarter|
||Current Prices and Thousand Try and D21X31. (Taxes Less Subsidies On Products)|2005|1.7515778E7|2.1188157E7|2.3066403E7|2.3622232E7|
|||2006|2.1455066E7|2.4748204E7|2.6453628E7|2.6316339E7|
|||2007|2.0921719E7|2.4522616E7|2.6790004E7|2.7969843E7|
|||2008|2.3902177E7|2.8104345E7|2.909642E7|2.8040937E7|
|||2009|2.1420895E7|2.60703E7|2.9631946E7|3.0986277E7|
|||2010|2.7484107E7|3.4127562E7|3.7451322E7|4.1040434E7|
|||2011|3.4064143E7|4.2541207E7|4.700263E7|4.417332E7|
|||2012|3.8923575E7|4.4294239E7|4.8221587E7|5.2819946E7|
|||2013|4.9427466E7|5.6857071E7|5.6720286E7|6.1383181E7|
|||2014|5.2726429E7|5.6089128E7|6.0116908E7|6.7343456E7|
|||2015|5.9190123E7|6.866018E7|7.1432577E7|7.8637825E7|
|||2016|6.4610507E7|7.2824051E7|7.5043919E7|9.7150808E7|
|||2017|7.0214194E7|8.4158072E7|9.2678923E7|1.06843716E8|
|||2018|8.5697856E7|9.6815051E7|1.05935454E8|1.00726345E8|
|||2019|8.672022E7|1.02754578E8|1.13610285E8|1.26774433E8|
|||2020|1.05887668E8|1.11246416E8|1.62215483E8|1.81200852E8|
|||2021|1.57546381E8|1.65776102E8|1.90207038E8|2.54067505E8|
|||2022|2.80854514E8|3.6640808E8|4.2664245E8||
||||||||
