||||Columns||||
Rows||||||||
||||1.Quarter|2.Quarter|3.Quarter|4.Quarter|
Turkey|Gross Domestic Product  By Production Approach (2009 Base), Value|Current Prices and Thousand Try and B1G. (Gross Value Added)|2005|1.25072561E8|1.42322731E8|1.6359189E8|1.63896094E8|
|||2006|1.41101974E8|1.69938044E8|1.92245044E8|1.93498809E8|
|||2007|1.70263234E8|1.89812524E8|2.12424241E8|2.15010234E8|
|||2008|1.95932845E8|2.23426015E8|2.41642331E8|2.32611427E8|
|||2009|1.91456709E8|2.16883868E8|2.44068015E8|2.45854472E8|
|||2010|2.14422271E8|2.46435578E8|2.83284934E8|2.83418271E8|
|||2011|2.58787071E8|2.96244054E8|3.37628212E8|3.44486978E8|
|||2012|2.96814234E8|3.4073948E8|3.79525577E8|3.80140614E8|
|||2013|3.39233389E8|3.87976408E8|4.38062326E8|4.33767187E8|
|||2014|4.01329859E8|4.34055228E8|4.91231167E8|4.92005654E8|
|||2015|4.41282488E8|4.97478454E8|5.63072741E8|5.71186956E8|
|||2016|5.03331161E8|5.62750586E8|5.95439769E8|6.55408909E8|
|||2017|5.84239389E8|6.5611431E8|7.47233187E8|7.92222476E8|
|||2018|7.1074859E8|8.01418284E8|9.3081481E8|9.26617336E8|
|||2019|8.37777583E8|9.26206497E8|1.042730881E9|1.07515829E9|
|||2020|9.64698633E8|9.26325779E8|1.252977785E9|1.343667451E9|
|||2021|1.238385098E9|1.427150128E9|1.741024385E9|2.074632347E9|
|||2022|2.227418384E9|3.058932455E9|3.831525096E9||
||Current Prices and Thousand Try and B1GQ. (Gross Domestic Product (Gdp))|2005|1.4258834E8|1.63510888E8|1.86658293E8|1.87518326E8|
|||2006|1.6255704E8|1.94686248E8|2.18698673E8|2.19815148E8|
|||2007|1.91184952E8|2.1433514E8|2.39214245E8|2.42980077E8|
|||2008|2.19835022E8|2.5153036E8|2.70738751E8|2.60652364E8|
|||2009|2.12877604E8|2.42954168E8|2.73699961E8|2.7684075E8|
|||2010|2.41906377E8|2.8056314E8|3.20736256E8|3.24458706E8|
|||2011|2.92851214E8|3.38785261E8|3.84630842E8|3.88660298E8|
|||2012|3.35737809E8|3.85033719E8|4.27747163E8|4.3296056E8|
|||2013|3.88660855E8|4.44833479E8|4.94782613E8|4.95150368E8|
|||2014|4.54056288E8|4.90144355E8|5.51348075E8|5.5934911E8|
|||2015|5.00472611E8|5.66138634E8|6.34505317E8|6.49824781E8|
|||2016|5.67941668E8|6.35574637E8|6.70483688E8|7.52559717E8|
|||2017|6.54453583E8|7.40272382E8|8.3991211E8|8.99066192E8|
|||2018|7.96446446E8|8.98233336E8|1.036750263E9|1.027343682E9|
|||2019|9.24497802E8|1.028961075E9|1.156341166E9|1.201932723E9|
|||2020|1.070586301E9|1.037572195E9|1.415193268E9|1.524868303E9|
|||2021|1.395931478E9|1.59292623E9|1.931231423E9|2.328699852E9|
|||2022|2.508272898E9|3.425340535E9|4.258167547E9||
||Current Prices and Thousand Try and D21X31. (Taxes Less Subsidies On Products)|2005|1.7515778E7|2.1188157E7|2.3066403E7|2.3622232E7|
|||2006|2.1455066E7|2.4748204E7|2.6453628E7|2.6316339E7|
|||2007|2.0921719E7|2.4522616E7|2.6790004E7|2.7969843E7|
|||2008|2.3902177E7|2.8104345E7|2.909642E7|2.8040937E7|
|||2009|2.1420895E7|2.60703E7|2.9631946E7|3.0986277E7|
|||2010|2.7484107E7|3.4127562E7|3.7451322E7|4.1040434E7|
|||2011|3.4064143E7|4.2541207E7|4.700263E7|4.417332E7|
|||2012|3.8923575E7|4.4294239E7|4.8221587E7|5.2819946E7|
|||2013|4.9427466E7|5.6857071E7|5.6720286E7|6.1383181E7|
|||2014|5.2726429E7|5.6089128E7|6.0116908E7|6.7343456E7|
|||2015|5.9190123E7|6.866018E7|7.1432577E7|7.8637825E7|
|||2016|6.4610507E7|7.2824051E7|7.5043919E7|9.7150808E7|
|||2017|7.0214194E7|8.4158072E7|9.2678923E7|1.06843716E8|
|||2018|8.5697856E7|9.6815051E7|1.05935454E8|1.00726345E8|
|||2019|8.672022E7|1.02754578E8|1.13610285E8|1.26774433E8|
|||2020|1.05887668E8|1.11246416E8|1.62215483E8|1.81200852E8|
|||2021|1.57546381E8|1.65776102E8|1.90207038E8|2.54067505E8|
|||2022|2.80854514E8|3.6640808E8|4.2664245E8||
||||||||
