date,year,month,exports_usd,exports_tl,imports_usd,imports_tl
2005-01-01,2005,1,4997279724,6791013684,7219679862,9812593440
2005-02-01,2005,2,5651741252,7449079145,8323736797,10998599631
2005-03-01,2005,3,6591859218,8638660740,10196352932,13302963657
2005-04-01,2005,4,6128131878,8333848266,9595500303,13036202298
2005-05-01,2005,5,5977226217,8198283737,9811620456,13450174257
2005-06-01,2005,6,6038534367,8223321303,9947498949,13565707879
2005-07-01,2005,7,5763466353,7721229150,9596123042,12854016876
2005-08-01,2005,8,5552867212,7463948756,10272181394,13789130790
2005-09-01,2005,9,6814268941,9139263231,10365938994,13907772870
2005-10-01,2005,10,6772178569,9194578231,10089811653,13709733722
2005-11-01,2005,11,5942575782,8082259762,9673128931,13161425354
2005-12-01,2005,12,7246278630,9803608215,11682577594,15792640185
2006-01-01,2006,1,5133048881,6852361051,8145534848,10886143042
2006-02-01,2006,2,6058251279,8040295096,9796220249,13002336012
2006-03-01,2006,3,7411101659,9890483575,11605026095,15498642541
2006-04-01,2006,4,6456090261,8636489090,11587101994,15533516371
2006-05-01,2006,5,7041543247,9976544298,12694201568,17848715804
2006-06-01,2006,6,7815434622,12473103413,12465724883,19816116730
2006-07-01,2006,7,7067411479,11037294086,11709384290,18352593393
2006-08-01,2006,8,6811202410,10029934367,12276087577,18069729664
2006-09-01,2006,9,7606551095,11246825547,12152978653,17962771416
2006-10-01,2006,10,6888812549,10221240860,11199556782,16617806171
2006-11-01,2006,11,8641474556,12597578137,12896574540,18778932179
2006-12-01,2006,12,8603753480,12339721901,13047782669,18710534382
2007-01-01,2007,1,6564559793,9360832696,10591885802,15123441529
2007-02-01,2007,2,7656951608,10701450814,11383177908,15931512712
2007-03-01,2007,3,8957851621,12609289911,13234192452,18670523005
2007-04-01,2007,4,8313312005,11313572225,12919281351,17651331307
2007-05-01,2007,5,9147620042,12235130270,14935155041,19991389258
2007-06-01,2007,6,8980247437,11870413743,14265946850,18904636628
2007-07-01,2007,7,8937741591,11451462055,15214033523,19520662349
2007-08-01,2007,8,8736689092,11509470069,14681667960,19234927622
2007-09-01,2007,9,9038743896,11438902467,14459084061,18399512349
2007-10-01,2007,10,9895216622,11907601572,15626532491,18788360312
2007-11-01,2007,11,11318798220,13475211546,16631882814,19791807786
2007-12-01,2007,12,9724017977,11466859779,16119874248,19020664412
2008-01-01,2008,1,10632207041,12515572992,16338588949,19138497444
2008-02-01,2008,2,11077899120,13225591966,16026520648,19122731292
2008-03-01,2008,3,11428587234,14133400129,16812088342,20702856749
2008-04-01,2008,4,11363963503,14801305956,17889469623,23278558081
2008-05-01,2008,5,12477968700,15618749899,19306133002,24255147428
2008-06-01,2008,6,11770634384,14514859299,19476568081,24097238386
2008-07-01,2008,7,12595426863,15314935922,20557428101,25022349112
2008-08-01,2008,8,11046830086,13041773867,19251335340,22721777378
2008-09-01,2008,9,12793148034,15832369679,17884561792,22060328723
2008-10-01,2008,10,9722708790,14565544527,14942454486,21410911167
2008-11-01,2008,11,9395872897,14992479064,12073504655,19181735140
2008-12-01,2008,12,7721948974,11956486315,11404921090,17699075886
2009-01-01,2009,1,7884493524,12626653241,9281137649,14715791454
2009-02-01,2009,2,8435115834,14033440467,9074663754,14983723410
2009-03-01,2009,3,8155485081,13955500316,10522038241,17972012635
2009-04-01,2009,4,7561696283,12216387470,10120319396,16309571673
2009-05-01,2009,5,7346407528,11466791835,10867698195,16987380618
2009-06-01,2009,6,8329692783,12903826652,12500590854,19331302745
2009-07-01,2009,7,9055733671,13757896261,12856285859,19616687392
2009-08-01,2009,8,7839908842,11637138763,12811165960,19030768504
2009-09-01,2009,9,8480708387,12653017738,12485004285,18640101735
