date,year,month,gold_price_cum,gold_price_lon
2005-01-01,2005,1,131.0,423.83
2005-02-01,2005,2,128.0,424.03
2005-03-01,2005,3,128.5,434.86
2005-04-01,2005,4,133.2,429.45
2005-05-01,2005,5,126.5,420.35
2005-06-01,2005,6,129.5,431.04
2005-07-01,2005,7,126.2,425.87
2005-08-01,2005,8,130.0,440.48
2005-09-01,2005,9,135.4,456.99
2005-10-01,2005,10,138.75,468.08
2005-11-01,2005,11,144.33,482.83
2005-12-01,2005,12,149.2,511.67
2006-01-01,2006,1,163.33,554.75
2006-02-01,2006,2,165.5,557.96
2006-03-01,2006,3,165.0,558.3
2006-04-01,2006,4,182.5,619.08
2006-05-01,2006,5,221.25,681.75
2006-06-01,2006,6,213.0,603.07
2006-07-01,2006,7,217.25,641.46
2006-08-01,2006,8,202.75,632.98
2006-09-01,2006,9,198.2,598.58
2006-10-01,2006,10,191.0,584.93
2006-11-01,2006,11,202.5,628.01
2006-12-01,2006,12,197.0,636.63
2007-01-01,2007,1,196.0,625.94
2007-02-01,2007,2,206.25,664.58
2007-03-01,2007,3,200.0,655.07
2007-04-01,2007,4,202.0,683.55
2007-05-01,2007,5,198.5,667.53
2007-06-01,2007,6,190.4,655.64
2007-07-01,2007,7,195.75,664.34
2007-08-01,2007,8,198.6,665.87
2007-09-01,2007,9,197.5,724.34
2007-10-01,2007,10,199.5,759.72
2007-11-01,2007,11,208.2,803.3
2007-12-01,2007,12,205.0,805.25
2008-01-01,2008,1,219.75,886.56
2008-02-01,2008,2,234.6,931.6
2008-03-01,2008,3,251.0,959.0
2008-04-01,2008,4,259.25,908.38
2008-05-01,2008,5,244.6,887.95
2008-06-01,2008,6,247.5,895.88
2008-07-01,2008,7,249.75,943.56
2008-08-01,2008,8,229.6,841.7
2008-09-01,2008,9,229.25,832.56
2008-10-01,2008,10,256.2,791.26
2008-11-01,2008,11,258.25,768.06
2008-12-01,2008,12,262.27,803.75
2009-01-01,2009,1,295.6,870.15
2009-02-01,2009,2,336.5,947.38
