date,year,month,import_unit_value_index_usd,import_unit_value_index_tl
2005-01-01,2005,1,80.7,73.0
2005-02-01,2005,2,80.0,70.4
2005-03-01,2005,3,81.1,70.4
2005-04-01,2005,4,85.3,77.2
2005-05-01,2005,5,80.2,73.2
2005-06-01,2005,6,78.7,71.5
2005-07-01,2005,7,78.3,69.8
2005-08-01,2005,8,78.9,70.6
2005-09-01,2005,9,80.3,71.7
2005-10-01,2005,10,80.2,72.6
2005-11-01,2005,11,79.1,71.6
2005-12-01,2005,12,79.7,71.7
2006-01-01,2006,1,82.3,73.3
2006-02-01,2006,2,81.7,72.2
2006-03-01,2006,3,82.4,73.3
2006-04-01,2006,4,89.0,79.5
2006-05-01,2006,5,88.0,82.4
2006-06-01,2006,6,87.2,92.3
2006-07-01,2006,7,88.7,92.6
2006-08-01,2006,8,90.6,88.8
2006-09-01,2006,9,88.7,87.3
2006-10-01,2006,10,88.2,87.1
2006-11-01,2006,11,87.9,85.2
2006-12-01,2006,12,90.9,86.8
2007-01-01,2007,1,88.2,83.8
2007-02-01,2007,2,88.7,82.6
2007-03-01,2007,3,90.3,84.8
2007-04-01,2007,4,96.4,87.7
2007-05-01,2007,5,93.9,83.7
2007-06-01,2007,6,93.3,82.3
2007-07-01,2007,7,95.9,81.9
2007-08-01,2007,8,94.9,82.8
2007-09-01,2007,9,96.3,81.6
2007-10-01,2007,10,100.1,80.2
2007-11-01,2007,11,103.7,82.1
2007-12-01,2007,12,104.9,82.4
2008-01-01,2008,1,107.1,83.5
2008-02-01,2008,2,108.2,86.0
2008-03-01,2008,3,112.5,92.2
2008-04-01,2008,4,122.6,106.2
2008-05-01,2008,5,118.5,99.1
2008-06-01,2008,6,123.0,101.3
2008-07-01,2008,7,127.4,103.3
2008-08-01,2008,8,123.9,97.4
2008-09-01,2008,9,119.7,98.3
2008-10-01,2008,10,112.5,107.4
2008-11-01,2008,11,102.8,108.7
2008-12-01,2008,12,98.2,101.5
2009-01-01,2009,1,92.4,97.6
2009-02-01,2009,2,90.6,99.6
2009-03-01,2009,3,90.2,102.5
2009-04-01,2009,4,89.6,96.2
2009-05-01,2009,5,86.4,89.9
2009-06-01,2009,6,89.5,92.1
2009-07-01,2009,7,90.1,91.6
2009-08-01,2009,8,92.3,91.3
2009-09-01,2009,9,93.3,92.8
2009-10-01,2009,10,96.9,94.7
2009-11-01,2009,11,98.7,97.7
