date,year,month,consumer_credits,consumer_price_index,WTI_oil_price,brent_oil_price,current_account_deficit,exports_usd,exports_tl,imports_usd,imports_tl,export_unit_value_index_usd,export_unit_value_index_tl,gdp,gold_price_cum,gold_price_lon,import_unit_value_index_usd,import_unit_value_index_tl,B,C,MIG_NRG_X_E,MIG_NDCOG,MIG_ING,MIG_DCOG,MIG_CAG,interest_rates_mortgage,interest_rates_personal,money_supply,real_effective_echange_rates,retail_sales,unemployment_15-19,unemployment_20-24,unemployment_25-29,unemployment_30-34,unemployment_35-39,unemployment_40-44,unemployment_45-49,unemployment_50-54,unemployment_55-59,unemployment_60-64,unemployment_65+
2005-01-01,2005,1,17319190.66666667,114.49,46.84,44.51,-1445,4997279724,6791013684,7219679862,9812593440,86.8,78.4,159229197.33333334,131.0,423.83,80.7,73.0,59.0,48.3,67.5,55.5,48.3,50.3,36.1,22.1125,29.685000000000002,26906087.0,107.61,1862316.0,20.3,22.7,14.6,10.7,8.9,7.8,7.4,6.8,4.3,3.4,0.7
2005-02-01,2005,2,18321840.54166667,114.51,48.15,45.48,-2302,5651741252,7449079145,8323736797,10998599631,86.5,75.8,150908768.66666666,128.0,424.03,80.0,70.4,60.3,50.2,64.9,54.2,50.7,50.1,42.0,20.4075,26.2175,28189500.0,109.93,709424.0,19.1,23.9,14.7,10.8,9.5,7.8,7.6,6.8,5.1,3.4,1.1
2005-03-01,2005,3,19324490.41666667,114.81,54.19,53.1,-2232,6591859218,8638660740,10196352932,13302963657,87.9,76.6,142588340.0,128.5,434.86,81.1,70.4,58.2,58.4,68.9,62.3,58.2,60.1,50.5,18.86,26.2125,29520606.0,109.33,5160277.0,18.0,22.6,13.7,10.3,9.0,7.4,6.9,6.6,4.4,2.8,1.0
2005-04-01,2005,4,20327140.29166667,115.63,52.98,51.88,-2336,6128131878,8333848266,9595500303,13036202298,86.6,78.3,149562522.66666666,133.2,429.45,85.3,77.2,58.9,56.5,65.2,57.6,57.5,60.7,49.1,18.278,25.130000000000003,31217625.0,105.96,6321035.0,16.4,21.1,12.7,9.2,8.0,7.0,6.6,6.7,4.3,2.5,0.7
2005-05-01,2005,5,21329790.16666667,116.69,49.83,48.65,-2071,5977226217,8198283737,9811620456,13450174257,86.6,78.9,156536705.33333334,126.5,420.35,80.2,73.2,64.3,59.0,66.8,60.1,60.7,58.2,52.1,18.0425,24.9775,31099565.0,106.24,2809651.0,16.7,19.3,11.9,8.5,6.7,6.5,6.2,6.3,3.7,2.4,0.4
2005-06-01,2005,6,22332440.04166667,116.81,56.35,54.35,-1938,6038534367,8223321303,9947498949,13565707879,85.9,77.8,163510888.0,129.5,431.04,78.7,71.5,71.3,61.0,67.3,66.5,61.5,58.4,51.8,17.3425,24.895,33653953.0,108.2,984740.0,17.2,19.0,12.0,8.4,6.5,6.2,6.6,6.3,3.5,2.8,0.8
2005-07-01,2005,7,23335089.916666668,116.14,59.0,57.52,-818,5763466353,7721229150,9596123042,12854016876,85.0,75.7,171226689.66666666,126.2,425.87,78.3,69.8,75.2,58.4,73.9,60.6,60.5,63.1,48.3,16.114,25.072,34129555.0,109.01,2145331.0,17.1,19.5,11.7,8.3,6.7,5.7,6.7,6.1,3.8,2.8,1.1
2005-08-01,2005,8,24337739.791666668,117.13,64.99,63.98,-876,5552867212,7463948756,10272181394,13789130790,85.0,76.0,178942491.33333334,130.0,440.48,78.9,70.6,76.8,58.0,75.6,61.6,60.8,62.5,45.2,16.645,24.252499999999998,34829731.0,107.86,4840713.0,17.8,20.0,12.1,8.5,6.8,5.8,6.6,6.5,4.2,2.8,1.2
2005-09-01,2005,9,25340389.666666668,118.33,65.59,62.91,-18,6814268941,9139263231,10365938994,13907772870,85.9,76.6,186658293.0,135.4,456.99,80.3,71.7,73.5,65.2,70.0,72.8,63.6,68.8,55.7,17.084,23.698,36484194.0,108.59,2682036.0,18.5,19.2,12.8,9.1,6.9,6.0,6.5,7.0,4.7,2.8,0.7
2005-10-01,2005,10,26343039.541666668,120.45,62.26,58.54,-651,6772178569,9194578231,10089811653,13709733722,84.2,76.0,186944970.66666666,138.75,468.08,80.2,72.6,75.9,66.7,72.2,79.9,62.7,66.7,55.0,16.365,22.595,38850009.0,109.55,1537329.0,18.7,19.8,13.3,9.3,7.2,6.7,6.5,7.5,5.0,2.4,0.6
2005-11-01,2005,11,27345689.416666668,122.14,58.32,55.24,-2554,5942575782,8082259762,9673128931,13161425354,83.6,75.6,187231648.33333334,144.33,482.83,79.1,71.6,66.9,60.6,70.2,73.3,56.0,59.6,50.9,15.905,21.6125,36854850.0,111.45,6059506.0,19.0,20.2,14.2,9.4,7.9,7.3,7.0,8.0,5.2,2.9,0.6
2005-12-01,2005,12,28474397.0,122.65,59.41,56.86,-3739,7246278630,9803608215,11682577594,15792640185,83.4,75.1,187518326.0,149.2,511.67,79.7,71.7,68.3,67.3,75.1,78.5,62.4,63.3,61.6,15.564,21.662,61991240.52,111.76,3604633.0,19.2,22.9,14.2,9.4,8.1,7.9,7.4,7.8,6.5,3.3,1.1
2006-01-01,2006,1,29098873.75,123.57,65.49,62.99,-2436,5133048881,6852361051,8145534848,10886143042,86.3,76.6,179197897.33333334,163.33,554.75,82.3,73.3,56.8,48.6,70.8,54.5,48.7,47.2,38.4,15.186666666667,21.353333333333335,56634439.5,112.4,719050.0,20.2,22.6,14.9,10.3,8.6,8.6,7.9,8.8,6.8,4.3,1.2
2006-02-01,2006,2,30479696.75,123.84,61.63,60.21,-3223,6058251279,8040295096,9796220249,13002336012,85.5,75.5,170877468.66666666,165.5,557.96,81.7,72.2,58.2,55.0,66.6,60.2,54.9,55.8,47.1,14.895,21.1875,56869047.1,112.38,2661601.0,20.5,22.6,14.9,10.5,9.0,9.2,8.0,8.8,7.5,3.8,1.5
2006-03-01,2006,3,32612166.2,124.18,62.69,62.06,-3054,7411101659,9890483575,11605026095,15498642541,86.6,76.8,162557040.0,165.0,558.3,82.4,73.3,69.4,65.8,73.4,69.7,65.9,66.0,58.9,14.72,20.912,58367649.6,111.32,474317.0,18.3,20.0,14.3,9.2,8.6,8.8,7.5,8.9,6.7,3.8,1.0
