date,year,month,ticker,firm,marketcap
2009-01-01,2009,1,ALYAG,ALTINYAĞ,10779.397200000001
2009-01-01,2009,1,AEFES,ANADOLU EFES,4995000.0
2009-01-01,2009,1,BANVT,BANVİT ,137000.0
2009-01-01,2009,1,CCOLA,COCA COLA İÇECEK,1958655.0214000002
2009-01-01,2009,1,ERSU,ERSU GIDA,11160.0
2009-01-01,2009,1,FRIGO,FRİGO PAK GIDA ,5880.0
2009-01-01,2009,1,KENT,KENT GIDA ,615179.4893
2009-01-01,2009,1,KERVT,KEREVİTAŞ GIDA ,33696.0
2009-01-01,2009,1,KNFRT,KONFRUT GIDA ,10758.0
2009-01-01,2009,1,KRSTL,KRİSTAL KOLA ,13440.0
2009-01-01,2009,1,MERKO,MERKO GIDA ,60001.5
2009-01-01,2009,1,PENGD,PENGUEN GIDA ,25806.0
2009-01-01,2009,1,PETUN,PINAR ET VE UN,88403.4
2009-01-01,2009,1,PINSU,PINAR SU ,35906.36487
2009-01-01,2009,1,PNSUT,PINAR SÜT ,119569.796325
2009-01-01,2009,1,TBORG,T.TUBORG ,83976.11039999999
2009-01-01,2009,1,ULKER,ÜLKER BİSKÜVİ,459306.0
2009-01-01,2009,1,ATEKS,AKIN TEKSTİL ,19908.0
2009-01-01,2009,1,ARSAN,ARSAN TEKSTİL ,26460.0
2009-01-01,2009,1,DERIM,DERİMOD ,9990.0
2009-01-01,2009,1,DESA,DESA DERİ,18704.3485468
2009-01-01,2009,1,KRTEK,KARSU TEKSTİL ,11232.159496703998
2009-01-01,2009,1,KORDS,KORDSA,243161.345
2009-01-01,2009,1,LUKSK,LÜKS KADİFE ,17400.0
2009-01-01,2009,1,MNDRS,MENDERES TEKSTİL,34960.0
2009-01-01,2009,1,SKTAS,SÖKTAŞ ,31920.0
2009-01-01,2009,1,GENTS,GENTAŞ ,43973.28
2009-01-01,2009,1,ALKA,ALKİM KAĞIT,73500.0
2009-01-01,2009,1,BAKAB,BAK AMBALAJ ,17820.0
2009-01-01,2009,1,DOBUR,DOĞAN BURDA,21939.75
2009-01-01,2009,1,DURDO,DURAN DOĞAN BASIM ,15316.02765
2009-01-01,2009,1,HURGZ,HÜRRİYET GZT. ,294400.0
2009-01-01,2009,1,KAPLM,KAPLAMİN ,19968.0
2009-01-01,2009,1,KARTN,KARTONSAN ,154617.274445
2009-01-01,2009,1,KOZAA,KOZA MADENCİLİK,176576.4
2009-01-01,2009,1,TIRE,TİRE KUTSAN ,286702.8015
