,date,year,month,consumer_credits,consumer_price_index,brent_oil_price,current_account_deficit,exports_usd,imports_usd,export_unit_value_index_usd,gdp,gold_price_lon,import_unit_value_index_usd,B,C,MIG_NRG_X_E,MIG_NDCOG,MIG_ING,MIG_DCOG,MIG_CAG,interest_rates_personal,money_supply,real_effective_echange_rates,retail_sales,unemployment_30-34,ExchangeRate
0,2008-01-01,2008,1,56746390973,146.94,92.18,-4035000000,10632207041,16338588949,110.7,2.01006E+11,886.56,107.1,74.6,65,87.6,67.3,64.4,63.2,61.9,19.8325,61258507.7,115.43,13619921.16,11.1,1.170436364
1,2008-02-01,2008,2,57403513466,148.84,94.99,-3747000000,11077899120,16026520648,112.1,1.91513E+11,931.6,108.2,72,65.1,82.2,66.4,62.6,68.2,65.9,19.936,61521490.29,113.09,12378144.81,11,1.188171429
2,2008-03-01,2008,3,57226097068,150.27,103.64,-4141000000,11428587234,16812088342,116.8,1.78383E+11,959,112.5,77.8,72,83.3,68.2,70.5,90.3,73,20.6275,63397271.55,106.72,33747894.78,9.9,1.23237619
3,2008-04-01,2008,4,55637004269,152.79,109.07,-5013000000,11363963503,17889469623,119.2,1.7768E+11,908.38,122.6,77.7,71,80.2,65.9,70.9,72.9,75.7,20.9975,61527806.76,100.72,8048486.945,9.1,1.296714286
4,2008-05-01,2008,5,59207090087,155.07,122.8,-4561000000,12477968700,19306133002,120.5,1.93237E+11,887.95,118.5,84.5,73.2,83.3,70.3,73.7,75,74,20.752,62644410.83,105.63,18824115.19,8.8,1.246995238
5,2008-06-01,2008,6,62005409472,154.51,132.32,-5259000000,11770634384,19476568081,123.4,2.04863E+11,895.88,123,93,71.3,85.8,69.5,71.3,73.9,72.1,21.245,66152012.54,105.4,14089059.29,8.4,1.2278
6,2008-07-01,2008,7,64248793817,155.4,132.72,-3684000000,12595426863,20557428101,128.1,2.13176E+11,943.56,127.4,98.7,69.9,92.5,67.7,72.9,71.2,66.6,21.71,67030149.41,105.56,13619036.65,8.3,1.209952174
7,2008-08-01,2008,8,67918538374,155.02,113.24,-2654000000,11046830086,19251335340,125,2.25414E+11,841.7,123.9,100.3,62.8,92.9,68.2,67.9,66.4,44.6,22.162,67612618.53,110.05,41131002.84,8.2,1.172666667
8,2008-09-01,2008,9,66493409375,155.72,97.23,-658000000,12793148034,17884561792,121.8,2.20178E+11,832.56,119.7,94.2,66.5,84.4,70.6,65.6,70.1,61.2,21.2325,70679630.32,107.12,12414853.65,9.1,1.229638095
9,2008-10-01,2008,10,56230297740,159.77,71.58,-2280000000,9722708790,14942454486,108,1.81486E+11,791.26,112.5,94.5,64.6,78.5,75.6,61.9,69.8,54.4,22.342,57783222.98,95.09,7310853.105,9.8,1.473265
10,2008-11-01,2008,11,51848823409,161.1,52.45,-354000000,9395872897,12073504655,99.5,1.66272E+11,768.06,102.8,78.7,64.6,78.3,81.2,59.3,71.6,50.2,25.085,52397832.92,92.02,16201282.24,10.8,1.58785
11,2008-12-01,2008,12,52814664223,160.44,39.95,-3039000000,7721948974,11404921090,99.2,1.69386E+11,803.75,98.2,72.3,53.7,77.5,66,48.4,57.5,46.5,24.47,55546948.46,95.77,50330594.1,11.9,1.538810526
12,2009-01-01,2009,1,50740306466,160.9,43.44,-330000000,7884493524,9281137649,95.1,1.54008E+11,870.15,92.4,72.9,48.9,82.4,60.4,49.3,49.2,31.8,22.858,51068253.62,95.56,39451354,13.8,1.589052381
13,2009-02-01,2009,2,48633851279,160.35,43.32,-150000000,8435115834,9074663754,90.9,1.3847E+11,947.38,90.6,60.5,48,73.1,56.2,47.7,52.6,34.7,21.4725,52328337.05,93.34,11992465.93,14.9,1.65236
14,2009-03-01,2009,3,47101210753,162.12,46.54,-1080000000,8155485081,10522038241,89.8,1.24889E+11,935.5,90.2,72.3,54.5,77.8,62.1,54.9,62,41,21.8,51541229.55,91.39,24695013.2,14.5,1.704536364
15,2009-04-01,2009,4,50549030574,162.15,50.18,-1384000000,7561696283,10120319396,91.7,1.38954E+11,894.33,89.6,75.3,56,75.1,61.9,57.3,62.4,43,19.0125,54815558.7,96.1,29769914.98,13,1.604152381
16,2009-05-01,2009,5,52803571204,163.19,57.3,-1361000000,7346407528,10867698195,93.8,1.50106E+11,942.94,86.4,76.4,59.4,77,63.8,60,70.9,48.6,20.016,57719733.55,97.79,9979812.912,11.4,1.551763158
17,2009-06-01,2009,6,53805692808,163.37,68.61,-1912000000,8329692783,12500590854,96.4,1.57785E+11,944.19,89.5,88.7,63.5,80.4,69.7,64.4,78.5,49.7,20.37,59289331.72,97.58,57440297.68,11,1.539781818
18,2009-07-01,2009,7,55036666565,163.78,64.44,-165000000,9055733671,12856285859,97.1,1.67275E+11,934.75,90.1,101.9,62.7,90.5,66.3,65.7,73.4,49.5,19.736,60674459.01,98.76,19218232.22,11.4,1.513691304
19,2009-08-01,2009,8,56518616359,163.29,72.51,-169000000,7839908842,12811165960,98.6,1.78101E+11,954.38,92.3,103.5,58.1,88.5,64.9,63.1,73.9,36.6,18.5675,62415231.15,100.05,69207907.78,12.7,1.47922381
20,2009-09-01,2009,9,56923847653,163.93,67.65,-649000000,8480708387,12485004285,100.2,1.84281E+11,1000.19,93.3,91.2,59.4,77.2,64.7,60.1,76.1,48.2,16.4475,67187976.27,99.46,2408505.753,12.2,1.48523
21,2009-10-01,2009,10,58745403515,167.88,72.77,684000000,10095768030,12772506117,101.5,1.87908E+11,1040.55,96.9,100.7,68.6,80.9,82,68.7,73.5,51.1,17.034,67180321.28,101.98,7539154.5,11.8,1.462138095
22,2009-11-01,2009,11,59226605827,170.01,76.66,-1673000000,8903010773,12617535430,103.3,1.86345E+11,1113.67,98.7,81.9,62.1,77.4,77.8,59,64.3,47.5,15.005,71472815.07,101.09,7089736.988,11.5,1.480021053
23,2009-12-01,2009,12,59507254130,170.91,74.46,-3171000000,10054591867,15019475471,102.2,1.8462E+11,1130.19,97.4,84.7,67.8,86,80.7,64.7,70.6,56.5,15.0675,71587612.04,100.54,37366271.17,12,1.499513043
24,2010-01-01,2010,1,62012950379,174.07,76.17,-2912000000,7828748058,11691248394,100.9,1.80858E+11,1104.31,97.8,68.9,54.2,82.8,59.4,55.7,59.1,42.2,14.956,69611485.21,104.55,15889376.81,12.8,1.46632
