,date,year,month,ticker,firm,marketcap,Sector
0,2009-01-01,2009,1,ALYAG,ALTINYAĞ,10779.3972,enerji
1,2009-01-01,2009,1,AEFES,ANADOLU EFES,4995000.0,gida
2,2009-01-01,2009,1,BANVT,BANVİT ,137000.0,gida
3,2009-01-01,2009,1,CCOLA,COCA COLA İÇECEK,1958655.0214,gida
4,2009-01-01,2009,1,ERSU,ERSU GIDA,11160.0,gida
5,2009-01-01,2009,1,FRIGO,FRİGO PAK GIDA ,5880.0,gida
6,2009-01-01,2009,1,KENT,KENT GIDA ,615179.4893,gida
7,2009-01-01,2009,1,KERVT,KEREVİTAŞ GIDA ,33696.0,gida
8,2009-01-01,2009,1,KNFRT,KONFRUT GIDA ,10758.0,gida
9,2009-01-01,2009,1,KRSTL,KRİSTAL KOLA ,13440.0,gida
10,2009-01-01,2009,1,MERKO,MERKO GIDA ,60001.5,gida
11,2009-01-01,2009,1,PENGD,PENGUEN GIDA ,25806.0,gida
12,2009-01-01,2009,1,PETUN,PINAR ET VE UN,88403.4,gida
13,2009-01-01,2009,1,PINSU,PINAR SU ,35906.36487,gida
14,2009-01-01,2009,1,PNSUT,PINAR SÜT ,119569.796325,gida
15,2009-01-01,2009,1,TBORG,T.TUBORG ,83976.11039999999,gida
16,2009-01-01,2009,1,ULKER,ÜLKER BİSKÜVİ,459306.0,gida
17,2009-01-01,2009,1,ATEKS,AKIN TEKSTİL ,19908.0,tekstil
18,2009-01-01,2009,1,ARSAN,ARSAN TEKSTİL ,26460.0,tekstil
19,2009-01-01,2009,1,DERIM,DERİMOD ,9990.0,tekstil
20,2009-01-01,2009,1,DESA,DESA DERİ,18704.3485468,tekstil
21,2009-01-01,2009,1,KRTEK,KARSU TEKSTİL ,11232.159496704,tekstil
22,2009-01-01,2009,1,KORDS,KORDSA,243161.345,imalat
23,2009-01-01,2009,1,LUKSK,LÜKS KADİFE ,17400.0,tekstil
24,2009-01-01,2009,1,MNDRS,MENDERES TEKSTİL,34960.0,tekstil
25,2009-01-01,2009,1,SKTAS,SÖKTAŞ ,31920.0,tekstil
26,2009-01-01,2009,1,GENTS,GENTAŞ ,43973.28,imalat
27,2009-01-01,2009,1,ALKA,ALKİM KAĞIT,73500.0,kagit
28,2009-01-01,2009,1,BAKAB,BAK AMBALAJ ,17820.0,ambalaj
29,2009-01-01,2009,1,DOBUR,DOĞAN BURDA,21939.75,kagit
30,2009-01-01,2009,1,DURDO,DURAN DOĞAN BASIM ,15316.02765,ambalaj
31,2009-01-01,2009,1,HURGZ,HÜRRİYET GZT. ,294400.0,kagit
32,2009-01-01,2009,1,KAPLM,KAPLAMİN ,19968.0,ambalaj
33,2009-01-01,2009,1,KARTN,KARTONSAN ,154617.274445,imalat
34,2009-01-01,2009,1,KOZAA,KOZA MADENCİLİK,176576.4,maden
35,2009-01-01,2009,1,TIRE,TİRE KUTSAN ,286702.8015,ambalaj
36,2009-01-01,2009,1,VKING,VİKİNG KAĞIT ,16000.0,kagit
37,2009-01-01,2009,1,SASA,ADVANSA SASA,58401.0,imalat
38,2009-01-01,2009,1,ALKIM,ALKİM KİMYA,94449.5,imalat
39,2009-01-01,2009,1,BAGFS,BAGFAŞ ,177000.0,kimya
40,2009-01-01,2009,1,DEVA,DEVA HOLDİNG ,319200.0,ilac
41,2009-01-01,2009,1,DYOBY,DYO BOYA,49726.0938812,kimya
42,2009-01-01,2009,1,ECILC,ECZACIBAŞI İLAÇ ,455012.64,holding
43,2009-01-01,2009,1,EGGUB,EGE GÜBRE ,43992.72,kimya
44,2009-01-01,2009,1,GOODY,GOOD-YEAR ,67334.80144745,kimya
45,2009-01-01,2009,1,GUBRF,GÜBRE FABRİK. ,475950.0,imalat
46,2009-01-01,2009,1,HEKTS,HEKTAŞ ,37314.12040299999,imalat
47,2009-01-01,2009,1,MRSHL,MARSHALL ,62000.0,imalat
48,2009-01-01,2009,1,PETKM,PETKİM ,778050.0,kimya
49,2009-01-01,2009,1,SODA,SODA SANAYİİ,213680.78838,kimya
50,2009-01-01,2009,1,TRCAS,TURCAS PETROL ,334425.0,kimya
51,2009-01-01,2009,1,TUPRS,TÜPRAŞ ,3931581.44,kimya
52,2009-01-01,2009,1,ADANA,ADANA ÇİMENTO (A) ,180095.0819066,tas
53,2009-01-01,2009,1,ADBGR,ADANA ÇİMENTO (B) ,112982.5819748,tas
54,2009-01-01,2009,1,ADNAC,ADANA ÇİMENTO (C) ,44431.3524655,tas
55,2009-01-01,2009,1,AFYON,AFYON ÇİMENTO ,68400.0,tas
56,2009-01-01,2009,1,AKCNS,AKÇANSA ,417354.6087850001,tas
57,2009-01-01,2009,1,ANACM,ANADOLU CAM ,360098.3152,camseramik
58,2009-01-01,2009,1,BTCIM,BATI ÇİMENTO ,310408.0,tas
59,2009-01-01,2009,1,BSOKE,BATISÖKE ÇİMENTO,42750.0,tas
60,2009-01-01,2009,1,BOLUC,BOLU ÇİMENTO ,137564.336,tas
61,2009-01-01,2009,1,BUCIM,BURSA ÇİMENTO ,482520.08448,tas
62,2009-01-01,2009,1,CMBTN,ÇİMBETON ,18054.0,insaat
63,2009-01-01,2009,1,CMENT,ÇİMENTAŞ ,266639.88736,tas
64,2009-01-01,2009,1,DENCM,DENİZLİ CAM ,10260.0,camseramik
65,2009-01-01,2009,1,EGSER,EGE SERAMİK ,28500.0,camseramik
66,2009-01-01,2009,1,GOLTS,GÖLTAŞ ÇİMENTO ,183600.0,tas
67,2009-01-01,2009,1,KONYA,KONYA ÇİMENTO ,190064.16,tas
68,2009-01-01,2009,1,KUTPO,KÜTAHYA PORSELEN ,25660.8,camseramik
69,2009-01-01,2009,1,MRDIN,MARDİN ÇİMENTO ,275167.728,tas
70,2009-01-01,2009,1,NUHCM,NUH ÇİMENTO,1231751.52,tas
71,2009-01-01,2009,1,TRKCM,TRAKYA CAM ,465940.47555,camseramik
72,2009-01-01,2009,1,USAK,UŞAK SERAMİK ,6355.93651,camseramik
73,2009-01-01,2009,1,UNYEC,ÜNYE ÇİMENTO ,258811.0390016,tas
74,2009-01-01,2009,1,BRSAN,BORUSAN MANNESMANN ,170100.0,anametal
75,2009-01-01,2009,1,BURCE,BURÇELİK ,22194.0,anametal
76,2009-01-01,2009,1,BURVA,BURÇELİK VANA,4636.8,anametal
77,2009-01-01,2009,1,CELHA,ÇELİK HALAT ,44100.0,anametal
78,2009-01-01,2009,1,CEMTS,ÇEMTAŞ ,45961.344,anametal
79,2009-01-01,2009,1,DMSAS,DEMISAŞ DÖKÜM ,17080.0,anametal
80,2009-01-01,2009,1,ERBOS,ERBOSAN ,26308.8,anametal
81,2009-01-01,2009,1,EREGL,EREĞLİ DEMİR CELİK ,4112748.75,anametal
82,2009-01-01,2009,1,IZMDC,İZMİR DEMİR ÇELİK ,189240.0,anametal
83,2009-01-01,2009,1,KRDMA,KARDEMİR (A) ,90430.0563114,anametal
84,2009-01-01,2009,1,KRDMB,KARDEMİR (B) ,44382.1878654,anametal
85,2009-01-01,2009,1,KRDMD,KARDEMİR (D) ,188212.412675,anametal
86,2009-01-01,2009,1,SARKY,SARKUYSAN ,66000.0,anametal
87,2009-01-01,2009,1,ALCAR,ALARKO CARRIER ,63180.0,imalat
88,2009-01-01,2009,1,ASUZU,ANADOLU ISUZU ,71175.17830079999,otomotiv
89,2009-01-01,2009,1,ARCLK,ARÇELİK ,703929.6,imalat
90,2009-01-01,2009,1,BFREN,BOSCH FREN SİSTEMLERİ ,93750.0,imalat
91,2009-01-01,2009,1,DITAS,DİTAŞ DOĞAN ,12800.0,otoyan
92,2009-01-01,2009,1,EGEEN,EGE ENDÜSTRİ ,16065.0,otoyan
93,2009-01-01,2009,1,EMKEL,EMEK ELEKTRİK ,5711.99408,imalat
94,2009-01-01,2009,1,EMNIS,EMİNİŞ AMBALAJ ,23410.87,ambalaj
95,2009-01-01,2009,1,FMIZP,F-M İZMİT PİSTON ,107075.925,imalat
96,2009-01-01,2009,1,FROTO,FORD OTOSAN ,1480840.2,imalat
