date,year,month,ticker,firm,sector,marketcap
2009-01-01,2009,1,ALYAG,ALTINYAĞ,,6783537.993592985
2009-01-01,2009,1,AEFES,ANADOLU EFES,MANUFACTURING,3143382848.7178264
2009-01-01,2009,1,BANVT,BANVİT ,MANUFACTURING,86214904.95982827
2009-01-01,2009,1,CCOLA,COCA COLA İÇECEK,MANUFACTURING,1232593113.2780397
2009-01-01,2009,1,ERSU,ERSU GIDA,MANUFACTURING,7023053.571910099
2009-01-01,2009,1,FRIGO,FRİGO PAK GIDA ,MANUFACTURING,3700318.548640805
2009-01-01,2009,1,KENT,KENT GIDA ,MANUFACTURING,387136067.1768993
2009-01-01,2009,1,KERVT,KEREVİTAŞ GIDA ,MANUFACTURING,21205090.78486404
2009-01-01,2009,1,KNFRT,KONFRUT GIDA ,MANUFACTURING,6770072.609911187
2009-01-01,2009,1,KRSTL,KRİSTAL KOLA ,MANUFACTURING,8457870.96832184
2009-01-01,2009,1,MERKO,MERKO GIDA ,MANUFACTURING,37759296.4959645
2009-01-01,2009,1,PENGD,PENGUEN GIDA ,MANUFACTURING,16239867.426228676
2009-01-01,2009,1,PETUN,PINAR ET VE UN,MANUFACTURING,55632779.04471301
2009-01-01,2009,1,PINSU,PINAR SU ,MANUFACTURING,22596086.384817272
2009-01-01,2009,1,PNSUT,PINAR SÜT ,MANUFACTURING,75245975.37391168
2009-01-01,2009,1,TBORG,T.TUBORG ,MANUFACTURING,52846659.6863653
2009-01-01,2009,1,ULKER,ÜLKER BİSKÜVİ,MANUFACTURING,289043964.5071452
2009-01-01,2009,1,ATEKS,AKIN TEKSTİL ,MANUFACTURING,12528221.371826723
2009-01-01,2009,1,ARSAN,ARSAN TEKSTİL ,MANUFACTURING,16651433.468883622
2009-01-01,2009,1,DERIM,DERİMOD ,MANUFACTURING,6286765.697435653
2009-01-01,2009,1,DESA,DESA DERİ,MANUFACTURING,11770756.440130394
2009-01-01,2009,1,KRTEK,KARSU TEKSTİL ,MANUFACTURING,7068463.9671676485
2009-01-01,2009,1,KORDS,KORDSA,MANUFACTURING,153022863.1319636
2009-01-01,2009,1,LUKSK,LÜKS KADİFE ,MANUFACTURING,10949922.235773811
2009-01-01,2009,1,MNDRS,MENDERES TEKSTİL,MANUFACTURING,22000533.41164669
2009-01-01,2009,1,SKTAS,SÖKTAŞ ,MANUFACTURING,20087443.54976437
2009-01-01,2009,1,GENTS,GENTAŞ ,MANUFACTURING,27672643.47424757
2009-01-01,2009,1,ALKA,ALKİM KAĞIT,MANUFACTURING,46253981.85801006
2009-01-01,2009,1,BAKAB,BAK AMBALAJ ,MANUFACTURING,11214230.703533867
2009-01-01,2009,1,DOBUR,DOĞAN BURDA,INFORMATION AND COMMUNICATION,13806813.584616004
2009-01-01,2009,1,DURDO,DURAN DOĞAN BASIM ,MANUFACTURING,9638466.19129089
2009-01-01,2009,1,HURGZ,HÜRRİYET GZT. ,INFORMATION AND COMMUNICATION,185267649.78228796
2009-01-01,2009,1,KAPLM,KAPLAMİN ,MANUFACTURING,12565979.724363877
2009-01-01,2009,1,KARTN,KARTONSAN ,MANUFACTURING,97301559.28046247
2009-01-01,2009,1,KOZAA,KOZA MADENCİLİK,MINING AND QUARRYING,111120566.01568335
2009-01-01,2009,1,TIRE,TİRE KUTSAN ,,180423757.54043075
2009-01-01,2009,1,VKING,VİKİNG KAĞIT ,MANUFACTURING,10068894.009906951
2009-01-01,2009,1,SASA,ADVANSA SASA,MANUFACTURING,36752092.442036
2009-01-01,2009,1,ALKIM,ALKİM KİMYA,MANUFACTURING,59437625.299294166
2009-01-01,2009,1,BAGFS,BAGFAŞ ,MANUFACTURING,111387139.98459566
2009-01-01,2009,1,DEVA,DEVA HOLDİNG ,MANUFACTURING,200874435.49764368
2009-01-01,2009,1,DYOBY,DYO BOYA,MANUFACTURING,31292923.051030338
2009-01-01,2009,1,ECILC,ECZACIBAŞI İLAÇ ,FINANCIAL INSTITUTIONS,286342127.8329968
2009-01-01,2009,1,EGGUB,EGE GÜBRE ,MANUFACTURING,27684877.18046961
2009-01-01,2009,1,GOODY,GOOD-YEAR ,MANUFACTURING,42374186.18453145
2009-01-01,2009,1,GUBRF,GÜBRE FABRİK. ,MANUFACTURING,299518131.5009509
2009-01-01,2009,1,HEKTS,HEKTAŞ ,MANUFACTURING,23481995.21316959
2009-01-01,2009,1,MRSHL,MARSHALL ,MANUFACTURING,39016964.28838944
2009-01-01,2009,1,PETKM,PETKİM ,MANUFACTURING,489631436.5255065
2009-01-01,2009,1,SODA,SODA SANAYİİ,,134470575.6344736
2009-01-01,2009,1,TRCAS,TURCAS PETROL ,FINANCIAL INSTITUTIONS,210455617.4539458
