name,start_date,end_date,size,na_in_close
ACSEL,2012-07-06,2022-11-25,2680,0
ADEL,2000-05-10,2022-11-25,5792,0
ADESE,2011-11-03,2022-11-25,2856,0
AEFES,2000-05-10,2022-11-25,5709,0
AFYON,2000-05-10,2022-11-25,5774,0
AGHOL,2000-05-10,2022-11-25,5784,0
AGYO,2002-02-21,2022-11-25,5357,0
AKBNK,2000-05-10,2022-11-25,5668,0
AKCNS,2000-05-10,2022-11-25,5668,0
AKENR,2000-07-07,2022-11-25,5759,0
AKFGY,2011-05-11,2022-11-25,2982,0
AKGRT,2000-05-10,2022-11-25,5823,0
AKMGY,2005-04-18,2022-11-25,4532,0
AKSA,2000-05-10,2022-11-25,5823,0
AKSEN,2010-05-21,2022-11-25,3235,0
AKSGY,2013-01-09,2022-11-25,2546,0
AKSUE,2000-08-31,2022-11-25,5742,0
ALARK,2000-05-10,2022-11-25,5823,0
ALBRK,2007-06-29,2022-11-25,3967,0
ALCAR,2000-05-10,2022-11-25,5666,0
ALCTL,2000-05-10,2022-11-25,5666,0
ALGYO,2000-05-10,2022-11-25,5823,0
ALKA,2000-11-09,2022-11-25,5692,0
ALKIM,2001-03-01,2022-11-25,5612,0
ANELE,2010-06-16,2022-11-25,3217,0
ANELT,2005-09-02,2022-11-25,4332,0
ANHYT,2000-05-10,2022-11-25,5789,0
ANSGR,2000-05-10,2022-11-25,5789,0
ARCLK,2000-05-10,2022-11-25,5813,0
ARENA,2000-11-09,2022-11-25,5692,0
ARMDA,2006-06-15,2022-11-25,4232,0
ARSAN,2000-05-10,2022-11-25,5823,0
ARTI,2006-05-24,2022-11-25,4244,0
ASELS,2000-05-10,2022-11-25,5823,0
ASUZU,2000-05-10,2022-11-25,5665,0
ATAGY,2000-05-10,2022-11-25,5681,0
ATEKS,2000-05-10,2022-11-25,5667,0
ATLAS,2000-05-10,2022-11-25,5641,0
ATSYH,2000-05-10,2022-11-25,5665,0
AVGYO,2000-05-10,2022-11-25,5823,0
AVOD,2011-12-06,2022-11-25,2833,0
AVTUR,2007-05-07,2022-11-25,4006,0
AYCES,2000-05-10,2022-11-25,5790,0
AYEN,2000-07-07,2022-11-25,5758,0
AYES,2013-02-05,2022-11-25,2527,0
AYGAZ,2000-05-10,2022-11-25,5658,0
BAGFS,2000-05-10,2022-11-25,5663,0
BAKAB,2000-05-10,2022-11-25,5790,0
BALAT,2012-08-27,2022-11-25,2644,0
BANVT,2000-05-10,2022-11-25,5663,0
BASCM,2012-08-09,2022-11-25,2656,0
BERA,2012-11-23,2022-11-25,2580,0
BFREN,2000-05-11,2022-11-25,5639,0
BIMAS,2005-07-22,2022-11-25,4466,0
BIZIM,2011-02-03,2022-11-25,3051,0
BJKAS,2002-02-21,2022-11-25,5357,0
BLCYT,2011-05-17,2022-11-25,2977,0
BOSSA,2000-05-10,2022-11-25,5824,1
BRISA,2000-05-10,2022-11-25,5662,0
BRKO,2010-02-22,2022-11-25,3299,0
BRKSN,2011-04-21,2022-11-25,2996,0
BRMEN,2000-05-10,2022-11-25,5645,0
BRSAN,2000-05-10,2022-11-25,5673,0
BRYAT,2000-05-10,2022-11-25,5665,2
BSOKE,2000-05-10,2022-11-25,5790,0
BTCIM,2000-05-10,2022-11-25,5823,0
BUCIM,2000-05-10,2022-11-25,5657,0
BURCE,2000-05-10,2022-11-25,5660,0
BURVA,2004-05-26,2022-11-25,4768,0
CCOLA,2000-05-10,2022-11-25,5813,0
CELHA,2000-05-10,2022-11-25,5661,0
CEMAS,2010-06-24,2022-11-25,3211,0
CEMTS,2000-05-10,2022-11-25,5661,0
CIMSA,2000-05-10,2022-11-25,5660,0
CLEBI,2000-05-10,2022-11-25,5661,0
CMBTN,2000-05-10,2022-11-25,5661,0
CMENT,2000-05-10,2022-11-25,5641,0
COSMO,2000-05-10,2022-11-25,5647,0
CRDFA,2005-01-05,2022-11-25,4608,0
DAGHL,2000-05-10,2022-11-25,5824,1
DAGI,2011-05-26,2022-11-25,2971,0
DARDL,2000-05-10,2022-11-25,5568,0
DERIM,2000-05-10,2022-11-25,5657,0
DESA,2004-05-10,2022-11-25,4779,0
DESPC,2010-12-08,2022-11-25,3092,0
DEVA,2000-05-10,2022-11-25,5657,0
DGATE,2006-02-10,2022-11-25,4321,0
DGGYO,2000-05-10,2022-11-25,5812,0
DIRIT,2012-10-12,2022-11-25,2610,0
DITAS,2000-05-10,2022-11-25,5659,0
DMSAS,2000-05-10,2022-11-25,5823,0
DOAS,2004-06-17,2022-11-25,4752,0
DOBUR,2000-05-10,2022-11-25,5789,0
DOCO,2010-12-02,2022-11-25,3090,0
DOGUB,2000-08-18,2022-11-25,5418,0
DOHOL,2000-05-10,2022-11-25,5688,0
DURDO,2000-05-26,2022-11-25,5811,0
DYOBY,2000-05-10,2022-11-25,5628,0
DZGYO,2000-05-10,2022-11-25,5694,0
ECILC,2000-05-10,2022-11-25,5659,0
ECYAP,2015-02-05,2015-06-19,83,0
ECZYT,2000-05-10,2022-11-25,5659,0
EDIP,2000-05-10,2022-11-25,5668,0
EGCYH,2000-09-06,2022-11-25,5710,0
EGCYO,2000-05-10,2022-11-25,5813,0
EGEEN,2000-05-10,2022-11-25,5652,0
EGGUB,2010-02-22,2022-11-25,3298,0
EGPRO,2000-05-10,2022-11-25,5631,0
EGSER,2000-05-10,2022-11-25,5659,0
EKGYO,2010-12-02,2022-11-25,3096,0
EKIZ,2010-07-08,2022-11-25,3201,0
EMKEL,2000-05-11,2022-11-25,5788,0
EMNIS,2000-05-10,2022-11-25,5659,0
ENJSA,2018-02-08,2022-11-25,1221,0
ENKAI,2002-07-29,2022-11-25,5245,0
EPLAS,2000-05-11,2022-11-25,5610,0
ERBOS,2000-05-10,2022-11-25,5823,0
EREGL,2000-05-10,2022-11-25,5666,1
ERICO,2011-06-09,2022-11-25,2961,0
ERSU,2000-08-31,2022-11-25,5722,0
ESCOM,2000-07-24,2022-11-25,5744,0
ETYAT,2010-02-22,2022-11-25,3299,0
EUKYO,2011-07-29,2022-11-25,2925,0
FENER,2004-02-23,2022-11-25,4837,2
FENIS,2000-05-10,2022-11-25,5503,0
FLAP,2012-06-29,2022-11-25,2685,0
FMIZP,2000-05-10,2022-11-25,5657,0
FNSYO,2000-05-10,2021-07-09,5223,1
FRIGO,2000-05-10,2022-11-25,5823,0
FROTO,2000-05-10,2022-11-25,5813,0
GARAN,2000-05-10,2022-11-25,5788,0
GARFA,2000-05-10,2022-11-25,5790,0
GEDIK,2010-08-02,2022-11-25,3184,0
GEDIZ,2000-05-10,2022-11-25,5505,0
GEDZA,2014-01-21,2022-11-25,2276,0
GENTS,2000-05-10,2022-11-25,5823,0
GENYH,2000-05-11,2021-07-09,5158,0
GEREL,2003-05-14,2022-11-25,5038,0
GLBMD,2011-08-24,2022-11-25,2907,0
GLRYH,2006-05-17,2022-11-25,4247,0
GLYHO,2005-01-05,2022-11-25,4574,0
GMSTR,2008-01-02,2022-11-25,3765,0
GOLTS,2000-05-10,2022-11-25,5823,0
GOODY,2000-05-10,2022-11-25,5658,0
GOZDE,2011-08-01,2022-11-25,2924,0
GRNYO,2000-05-10,2022-11-25,5823,0
GSDDE,2000-05-10,2022-11-25,5636,0
GSDHO,2000-05-10,2022-11-25,5823,0
GSRAY,2002-02-21,2022-11-25,5355,0
GUBRF,2000-05-10,2022-11-25,5657,0
HALKB,2007-05-11,2022-11-25,4003,1
HALKS,2000-05-10,2022-11-25,5823,0
HATEK,2011-01-07,2022-11-25,3070,0
HEKTS,2000-05-10,2022-11-25,5824,1
HLGYO,2013-03-13,2022-11-25,2502,0
HURGZ,2000-05-10,2022-11-25,5659,0
IDGYO,2010-06-21,2022-11-25,3214,0
IEYHO,2000-05-10,2022-11-25,5785,0
IHEVA,2000-05-10,2022-11-25,5463,0
IHGZT,2010-06-14,2022-11-25,3219,0
IHLAS,2000-05-10,2022-11-25,5468,0
IHLGM,2000-05-10,2022-11-25,5638,0
IHYAY,2010-11-05,2022-11-25,3115,0
INDES,2004-06-28,2022-11-25,4745,0
INFO,2011-10-11,2022-11-25,2873,0
INTEM,2000-05-11,2022-11-25,5655,0
IPEKE,2001-02-08,2022-11-25,5626,0
ISATR,2000-05-11,2022-11-25,4519,2
ISBIR,2012-11-16,2022-11-25,2585,0
ISBTR,2007-12-31,2022-11-25,3840,0
ISCTR,2007-12-31,2022-11-25,3840,0
ISDMR,2016-03-28,2022-11-25,1709,0
ISFIN,2000-05-10,2022-11-25,5823,0
ISGYO,2000-05-10,2022-11-25,5823,0
ISKUR,2008-03-10,2016-11-01,2204,0
ISMEN,2007-05-22,2022-11-25,3995,0
ISYAT,2000-05-10,2022-11-25,5787,0
ITTFH,2010-02-22,2022-11-25,3299,0
IZMDC,2000-05-10,2022-11-25,5656,1
IZOCM,2000-05-10,2022-11-25,5653,0
JANTS,2012-08-28,2022-11-25,2643,0
KAPLM,2000-05-10,2022-11-25,5653,0
KAREL,2006-10-20,2022-11-25,4141,0
KARSN,2000-05-10,2022-11-25,5786,0
KARTN,2000-05-10,2022-11-25,5823,0
KATMR,2010-11-11,2022-11-25,3111,0
KCHOL,2000-05-10,2022-11-25,5649,1
KENT,2000-05-10,2022-11-25,5653,0
KERVN,2000-05-10,2022-11-25,5657,0
KERVT,2000-05-10,2022-11-25,5823,0
KIPA,2000-05-10,2022-11-25,5502,0
KLGYO,2011-04-20,2022-11-25,2997,0
KLMSN,2000-05-10,2022-11-25,5823,0
KNFRT,2000-05-11,2022-11-25,5822,0
KONYA,2000-05-10,2022-11-25,5653,0
KORDS,2000-05-10,2022-11-25,5653,0
KOZAA,2003-03-14,2022-11-25,5076,0
KOZAL,2010-02-12,2022-11-25,3305,0
KRDMA,2000-05-10,2022-11-25,5787,0
KRDMB,2000-05-10,2022-11-25,5787,0
KRDMD,2000-05-10,2022-11-25,5787,0
KRGYO,2014-05-06,2022-11-25,2203,0
KRONT,2011-05-18,2022-11-25,2977,0
KRSTL,2000-05-11,2022-11-25,5635,0
KRTEK,2000-05-10,2022-11-25,5654,0
KSTUR,2014-07-14,2022-11-25,802,0
KUTPO,2000-05-10,2022-11-25,5664,0
KUYAS,2012-09-18,2022-11-25,2628,0
LINK,2001-01-11,2022-11-25,5647,0
LKMNH,2011-01-25,2022-11-25,3058,0
LOGO,2000-07-06,2022-11-25,5782,0
LUKSK,2000-05-10,2022-11-25,5653,0
MAALT,2000-05-10,2022-11-25,5649,0
MAKTK,2000-05-10,2022-11-25,5588,0
MARTI,2000-05-10,2022-11-25,5650,0
MAVI,2017-06-15,2022-11-25,1391,0
